Time - Plot 0	Amplitude - Plot 0	Time - Plot 1	Amplitude - Plot 1	Time - Plot 2	Amplitude - Plot 2	
25946	-0.5419	25946	0.183359	25946	1.12128	
25947	-0.641594	25947	0.0740269	25947	1.18627	
25948	-0.738163	25948	-0.0365551	25948	1.24345	
25949	-0.831295	25949	-0.148386	25949	1.29157	
25950	-0.918801	25950	-0.257719	25950	1.3325	
25951	-0.998494	25951	-0.365177	25951	1.36749	
25952	-1.07506	25952	-0.472635	25952	1.39124	
25953	-1.1435	25953	-0.575095	25953	1.40686	
25954	-1.20663	25954	-0.675681	25954	1.41311	
25955	-1.25976	25955	-0.769082	25955	1.41342	
25956	-1.3057	25956	-0.860609	25956	1.40311	
25957	-1.34445	25957	-0.945888	25957	1.38343	
25958	-1.37539	25958	-1.02648	25958	1.35687	
25959	-1.39727	25959	-1.09895	25959	1.32	
25960	-1.40883	25960	-1.16455	25960	1.27719	
25961	-1.41477	25961	-1.22547	25961	1.2247	
25962	-1.41133	25962	-1.27701	25962	1.16565	
25963	-1.39633	25963	-1.32043	25963	1.0991	
25964	-1.37383	25964	-1.35542	25964	1.02661	
25965	-1.34539	25965	-1.38353	25965	0.946626	
25966	-1.30695	25966	-1.40196	25966	0.860704	
25967	-1.25914	25967	-1.41196	25967	0.770719	
25968	-1.20538	25968	-1.41321	25968	0.674486	
25969	-1.14444	25969	-1.40727	25969	0.574816	
25970	-1.07694	25970	-1.39196	25970	0.470459	
25971	-0.998806	25971	-1.36541	25971	0.366415	
25972	-0.917551	25972	-1.3323	25972	0.258934	
25973	-0.830982	25973	-1.29169	25973	0.148328	
25974	-0.739101	25974	-1.24296	25974	0.0374096	
25975	-0.641282	25975	-1.18579	25975	-0.0741334	
25976	-0.54065	25976	-1.12113	25976	-0.183802	
25977	-0.43783	25977	-1.05241	25977	-0.295032	
25978	-0.330635	25978	-0.973377	25978	-0.400951	
25979	-0.221253	25979	-0.88966	25979	-0.506558	
25980	-0.109995	25980	-0.800632	25980	-0.607478	
25981	-0.000300176	25981	-0.707544	25981	-0.707148	
25982	0.110645	25982	-0.609457	25982	-0.800882	
25983	0.22159	25983	-0.506684	25983	-0.889616	
25984	0.329723	25984	-0.402038	25984	-0.973039	
25985	0.436605	25985	-0.29458	25985	-1.05021	
25986	0.540362	25986	-0.18556	25986	-1.1227	
25987	0.642557	25987	-0.0731033	25987	-1.18581	
25988	0.739126	25988	0.0371662	25988	-1.24237	
25989	0.83132	25989	0.148061	25989	-1.29111	
25990	0.918826	25990	0.257705	25990	-1.33298	
25991	1.00008	25991	0.365788	25991	-1.36516	
25992	1.07602	25992	0.472934	25992	-1.38953	
25993	1.14259	25993	0.574145	25993	-1.40671	
25994	1.2051	25994	0.674731	25994	-1.41359	
25995	1.25979	25995	0.770318	25995	-1.41202	
25996	1.3076	25996	0.861845	25996	-1.40078	
25997	1.34573	25997	0.946812	25997	-1.38297	
25998	1.37448	25998	1.02553	25998	-1.35516	
25999	1.3973	25999	1.09894	25999	-1.31923	
26000	1.40886	26000	1.16485	26000	-1.27611	
26001	1.41417	26001	1.22452	26001	-1.22518	
26002	1.40855	26002	1.27543	26002	-1.16644	
26003	1.3973	26003	1.32042	26003	-1.09739	
26004	1.37542	26004	1.35697	26004	-1.02522	
26005	1.34448	26005	1.38227	26005	-0.946169	
26006	1.30729	26006	1.40164	26006	-0.860559	
26007	1.2601	26007	1.41226	26007	-0.769637	
26008	1.20666	26008	1.41413	26008	-0.674029	
26009	1.14322	26009	1.40538	26009	-0.576233	
26010	1.0754	26010	1.39039	26010	-0.471564	
26011	0.999457	26011	1.36665	26011	-0.36627	
26012	0.918201	26012	1.3326	26012	-0.256602	
26013	0.830382	26013	1.29137	26013	-0.147558	
26014	0.740064	26014	1.24326	26014	-0.0357026	
26015	0.641619	26015	1.18547	26015	0.0742782	
26016	0.54005	26016	1.12049	26016	0.183947	
26017	0.436292	26017	1.05021	26017	0.293927	
26018	0.329723	26018	0.973052	26018	0.401721	
26019	0.221903	26019	0.890896	26019	0.508265	
26020	0.109707	26020	0.800307	26020	0.60856	
26021	-0.000300176	26021	0.705968	26021	0.706981	
26022	-0.111245	26022	0.609756	26022	0.801027	
26023	-0.22094	26023	0.506983	26023	0.889761	
26024	-0.33001	26024	0.401712	26024	0.973497	
