Time - Plot 0	Amplitude - Plot 0	Time - Plot 1	Amplitude - Plot 1	Time - Plot 2	Amplitude - Plot 2	
24000	-0,189376	24000	0,846539	24000	-1,39828	
24001	1,23455E-5	24001	1,21171	24001	-1,22268	
24002	0,210027	24002	1,40132	24002	-0,862433	
24003	0,368475	24003	1,37352	24003	-0,36502	
24004	0,472545	24004	1,13705	24004	0,187696	
24005	0,517548	24005	0,709092	24005	0,714167	
24006	0,475045	24006	0,204289	24006	1,12066	
24007	0,361287	24007	-0,375173	24007	1,37187	
24008	0,205339	24008	-0,840929	24008	1,39467	
24009	0,00345008	24009	-1,2111	24009	1,21814	
24010	-0,198751	24010	-1,41539	24010	0,857579	
24011	-0,36095	24011	-1,37978	24011	0,369539	
24012	-0,482208	24012	-1,1305	24012	-0,183802	
24013	-0,515961	24013	-0,696298	24013	-0,707773	
24014	-0,483771	24014	-0,188371	24014	-1,1202	
24015	-0,3647	24015	0,343297	24015	-1,3661	
24016	-0,195314	24016	0,870904	24016	-1,40765	
24017	0,0156384	24017	1,23639	24017	-1,22799	
24018	0,204401	24018	1,4007	24018	-0,863371	
24019	0,366288	24019	1,38008	24019	-0,371269	
24020	0,484421	24020	1,11175	24020	0,19082	
24021	0,520048	24021	0,724711	24021	0,708543	
24022	0,480045	24022	0,182422	24022	1,12941	
24023	0,362537	24023	-0,38923	24023	1,37155	
24024	0,195338	24024	-0,853736	24024	1,40498	
24025	-0,00467548	24025	-1,21328	24025	1,22345	
24026	-0,195626	24026	-1,4004	24026	0,857579	
24027	-0,367513	24027	-1,3601	24027	0,362041	
24028	-0,472208	24028	-1,12894	24028	-0,186301	
24029	-0,525024	24029	-0,691925	24029	-0,706523	
24030	-0,480021	24030	-0,184622	24030	-1,12083	
24031	-0,356887	24031	0,364851	24031	-1,36828	
24032	-0,199376	24032	0,871529	24032	-1,40546	
24033	0,00251252	24033	1,20609	24033	-1,21831	
24034	0,204714	24034	1,38258	24034	-0,855872	
24035	0,357537	24035	1,38383	24035	-0,36877	
24036	0,480983	24036	1,09301	24036	0,190195	
24037	0,515985	24037	0,717214	24037	0,703231	
24038	0,477545	24038	0,18086	24038	1,12097	
24039	0,37035	24039	-0,36955	24039	1,36718	
24040	0,202214	24040	-0,849363	24040	1,40342	
24041	-0,00123774	24041	-1,23546	24041	1,2272	
24042	-0,193126	24042	-1,37884	24042	0,85258	
24043	-0,365325	24043	-1,36791	24043	0,362978	
24044	-0,484708	24044	-1,11645	24044	-0,18099	
24045	-0,520023	24045	-0,670995	24045	-0,714647	
24046	-0,474083	24046	-0,199617	24046	-1,12051	
24047	-0,3622	24047	0,357979	24047	-1,35953	
24048	-0,200626	24048	0,861845	24048	-1,4014	
24049	0,0022	24049	1,19234	24049	-1,21768	
24050	0,199714	24050	1,40944	24050	-0,858996	
24051	0,378163	24051	1,36946	24051	-0,369394	
24052	0,485671	24052	1,11706	24052	0,187696	
24053	0,519736	24053	0,737831	24053	0,700732	
24054	0,481921	24054	0,180236	24054	1,11472	
24055	0,354724	24055	-0,38392	24055	1,35468	
24056	0,200964	24056	-0,859672	24056	1,40811	
24057	-0,00592556	24057	-1,23671	24057	1,21939	
24058	-0,199376	24058	-1,4079	24058	0,861641	
24059	-0,369388	24059	-1,37228	24059	0,374226	
24060	-0,485333	24060	-1,12738	24060	-0,17849	
24061	-0,515023	24061	-0,688801	24061	-0,711835	
24062	-0,480021	24062	-0,212736	24062	-1,1127	
24063	-0,364075	24063	0,394527	24063	-1,36578	
24064	-0,196564	24064	0,870904	24064	-1,39765	
24065	0,00188747	24065	1,23233	24065	-1,22612	
24066	0,204401	24066	1,37977	24066	-0,856184	
24067	0,371913	24067	1,36915	24067	-0,36752	
24068	0,479108	24068	1,10987	24068	0,193632	
24069	0,526611	24069	0,695348	24069	0,704481	
24070	0,480358	24070	0,205226	24070	1,11941	
24071	0,359412	24071	-0,3708	24071	1,35843	
24072	0,194088	24072	-0,87123	24072	1,40467	
24073	0,000637388	24073	-1,22453	24073	1,22283	
24074	-0,208439	24074	-1,40821	24074	0,863828	
24075	-0,366888	24075	-1,36635	24075	0,368914	
24076	-0,474395	24076	-1,11895	24076	-0,188801	
24077	-0,512835	24077	-0,718164	24077	-0,706523	
24078	-0,483458	24078	-0,181186	24078	-1,12051	
24079	-0,364388	24079	0,363914	24079	-1,36766	
24080	-0,198439	24080	0,863095	24080	-1,40203	
24081	-0,000300176	24081	1,22608	24081	-1,22393	
24082	0,198464	24082	1,38196	24082	-0,855559	
24083	0,371913	24083	1,35884	24083	-0,362521	
24084	0,479733	24084	1,12018	24084	0,188008	
24085	0,521611	24085	0,696909	24085	0,703856	
24086	0,484108	24086	0,166803	24086	1,12316	
24087	0,367225	24087	-0,378922	24087	1,37062	
24088	0,200964	24088	-0,855923	24088	1,40248	
24089	0,00501269	24089	-1,21578	24089	1,22939	
24090	-0,197501	24090	-1,40446	24090	0,861954	
24091	-0,3672	24091	-1,36854	24091	0,366102	
24092	-0,482833	24092	-1,14925	24092	-0,178803	
24093	-0,520023	24093	-0,700984	24093	-0,711835	
24094	-0,467207	24094	-0,203677	24094	-1,11864	
24095	-0,3672	24095	0,34236	24095	-1,35828	
24096	-0,197814	24096	0,836543	24096	-1,39609	
24097	-0,000925219	24097	1,21546	24097	-1,22018	
24098	0,202839	24098	1,39508	24098	-0,857434	
24099	0,367225	24099	1,36228	24099	-0,362208	
24100	0,478795	24100	1,13549	24100	0,180197	
24101	0,511298	24101	0,693473	24101	0,711355	
24102	0,485983	24102	0,203664	24102	1,11816	
24103	0,366913	24103	-0,374548	24103	1,37093	
24104	0,201589	24104	-0,849988	24104	1,40467	
24105	-0,000612698	24105	-1,21703	24105	1,22345	
24106	-0,204064	24106	-1,38853	24106	0,856017	
24107	-0,371263	24107	-1,34823	24107	0,367977	
24108	-0,482833	24108	-1,12363	24108	-0,186301	
24109	-0,519086	24109	-0,71629	24109	-0,704023	
24110	-0,487521	24110	-0,175563	24110	-1,12114	
24111	-0,371576	24111	0,358916	24111	-1,36141	
24112	-0,192501	24112	0,853099	24112	-1,3989	
24113	-0,00561304	24113	1,21265	24113	-1,22081	
24114	0,204089	24114	1,38664	24114	-0,859934	
24115	0,376288	24115	1,37071	24115	-0,367832	
24116	0,485671	24116	1,14236	24116	0,174886	
24117	0,520673	24117	0,720338	24117	0,705418	
24118	0,477545	24118	0,190544	24118	1,12097	
24119	0,37035	24119	-0,393916	24119	1,37499	
24120	0,209402	24120	-0,848114	24120	1,40686	
24121	-0,00311287	24121	-1,22141	24121	1,22127	
24122	-0,197189	24122	-1,40196	24122	0,861329	
24123	-0,373138	24123	-1,34198	24123	0,359229	
24124	-0,476895	24124	-1,11645	24124	-0,188488	
24125	-0,526586	24125	-0,73597	24125	-0,699962	
24126	-0,477833	24126	-0,176813	24126	-1,1252	
24127	-0,3547	24127	0,367038	24127	-1,36891	
24128	-0,193751	24128	0,86372	24128	-1,4014	
24129	0,00470017	24129	1,2114	24129	-1,21956	
24130	0,193776	24130	1,41788	24130	-0,861183	
24131	0,380664	24131	1,37727	24131	-0,370957	
24132	0,481921	24132	1,11518	24132	0,183009	
24133	0,525674	24133	0,727835	24133	0,699482	
24134	0,476608	24134	0,18742	24134	1,12941	
24135	0,362225	24135	-0,362678	24135	1,36718	
24136	0,202214	24136	-0,851862	24136	1,39405	
24137	0,00313756	24137	-1,22484	24137	1,22564	
24138	-0,200626	24138	-1,41383	24138	0,866953	
24139	-0,3622	24139	-1,34355	24139	0,361728	
24140	-0,473458	24140	-1,12394	24140	-0,182552	
