Time - Plot 0	Amplitude - Plot 0	Time - Plot 1	Amplitude - Plot 1	Time - Plot 2	Amplitude - Plot 2	
23951	0,530674	23951	-0,378297	23951	1,35999	
23952	0,495359	23952	-0,480757	23952	1,39186	
23953	0,462857	23953	-0,571034	23953	1,4103	
23954	0,402853	23954	-0,660687	23954	1,40748	
23955	0,342849	23955	-0,773455	23955	1,41217	
23956	0,295345	23956	-0,860921	23956	1,40217	
23957	0,246592	23957	-0,941827	23957	1,38374	
23958	0,166899	23958	-1,03585	23958	1,36124	
23959	0,109707	23959	-1,10176	23959	1,31906	
23960	0,0465781	23960	-1,14987	23960	1,27095	
23961	-0,0093633	23961	-1,20298	23961	1,22408	
23962	-0,0746803	23962	-1,27888	23962	1,16534	
23963	-0,143435	23963	-1,30169	23963	1,09348	
23964	-0,17375	23964	-1,35916	23964	1,0263	
23965	-0,24813	23965	-1,38166	23965	0,945064	
23966	-0,308134	23966	-1,39759	23966	0,861954	
23967	-0,341886	23967	-1,42945	23967	0,774781	
23968	-0,408141	23968	-1,39602	23968	0,672612	
23969	-0,470645	23969	-1,42133	23969	0,57919	
23970	-0,518148	23970	-1,36822	23970	0,469522	
23971	-0,566902	23971	-1,37416	23971	0,369227	
23972	-0,596279	23972	-1,33511	23972	0,259558	
23973	-0,626593	23973	-1,29731	23973	0,143641	
23974	-0,65847	23974	-1,25952	23974	0,0395967	
23975	-0,706599	23975	-1,19423	23975	-0,0716339	
23976	-0,719725	23976	-1,13863	23976	-0,179428	
23977	-0,741289	23977	-1,04554	23977	-0,293783	
23978	-0,762227	23978	-0,980562	23978	-0,397515	
23979	-0,762227	23979	-0,912464	23979	-0,504996	
23980	-0,781604	23980	-0,804068	23980	-0,60654	
23981	-0,782541	23981	-0,715353	23981	-0,705586	
23982	-0,775353	23982	-0,623201	23982	-0,797132	
23983	-0,771603	23983	-0,492003	23983	-0,889616	
23984	-0,765353	23984	-0,389855	23984	-0,976476	
23985	-0,749102	23985	-0,309886	23985	-1,04396	
23986	-0,7191	23986	-0,192432	23986	-1,12114	
23987	-0,674409	23987	-0,0709167	23987	-1,18644	
23988	-0,676284	23988	0,0384157	23988	-1,24049	
23989	-0,614405	23989	0,159619	23989	-1,29736	
23990	-0,584403	23990	0,274574	23990	-1,33985	
23991	-0,5469	23991	0,332364	23991	-1,35828	
23992	-0,489709	23992	0,47106	23992	-1,39078	
23993	-0,42783	23993	0,571958	23993	-1,40859	
23994	-0,385014	23994	0,656613	23994	-1,41327	
23995	-0,362513	23995	0,815613	23995	-1,41921	
23996	-0,285007	23996	0,86372	23996	-1,40296	
23997	-0,238442	23997	0,939003	23997	-1,38453	
23998	-0,164999	23998	1,03084	23998	-1,35547	
23999	-0,114058	23999	1,113	23999	-1,32048	
24000	-0,0368652	24000	1,16079	24000	-1,27611	
24001	0,0159509	24001	1,24232	24001	-1,22799	
24002	0,0684546	24002	1,29605	24002	-1,16988	
24003	0,130021	24003	1,32448	24003	-1,10052	
24004	0,1844	24004	1,33697	24004	-1,01959	
24005	0,248779	24005	1,37165	24005	-0,943357	
24006	0,304721	24006	1,39789	24006	-0,858684	
24007	0,360975	24007	1,43225	24007	-0,775573	
24008	0,405665	24008	1,39258	24008	-0,672154	
24009	0,468482	24009	1,42225	24009	-0,58092	
24010	0,515048	24010	1,41038	24010	-0,476563	
24011	0,562239	24011	1,39476	24011	-0,369394	
24012	0,596929	24012	1,33416	24012	-0,256602	
24013	0,637244	24013	1,3098	24013	-0,153182	
24014	0,662558	24014	1,23639	24014	-0,0332031	
24015	0,701623	24015	1,1661	24015	0,0789649	
24016	0,730063	24016	1,12237	24016	0,188633	
24017	0,743189	24017	1,04459	24017	0,294865	
24018	0,768503	24018	0,971178	24018	0,402658	
24019	0,771316	24019	0,904016	24019	0,502641	
24020	0,780066	24020	0,803743	24020	0,610747	
24021	0,782567	24021	0,717839	24021	0,703231	
24022	0,780066	24022	0,581954	24022	0,807901	
24023	0,766628	24023	0,511981	24023	0,890074	
24024	0,762253	24024	0,399213	24024	0,978496	
24025	0,725688	24025	0,318307	24025	1,04442	
24026	0,716624	24026	0,174925	24026	1,12222	
24027	0,698811	24027	0,0821487	24027	1,18471	
24028	0,661621	24028	-0,0221857	24028	1,23439	
24029	0,621305	24029	-0,154634	24029	1,29594	
24030	0,599116	24030	-0,241475	24030	1,33156	
24031	0,553176	24031	-0,38267	24031	1,3703	
24032	0,50536	24032	-0,482944	24032	1,39686	
24033	0,440355	24033	-0,564162	24033	1,40373	
24034	0,419729	24034	-0,676306	24034	1,41373	
24035	0,348474	24035	-0,775642	24035	1,41998	
24036	0,291595	24036	-0,853736	24036	1,39874	
24037	0,236279	24037	-0,918086	24037	1,38249	
24038	0,168774	24038	-1,01742	24038	1,35781	
24039	0,0981441	24039	-1,09427	24039	1,32156	
24040	0,0440779	24040	-1,18111	24040	1,27876	
24041	-0,0165513	24041	-1,22265	24041	1,22377	
24042	-0,0621794	24042	-1,26982	24042	1,1619	
24043	-0,132497	24043	-1,32543	24043	1,10347	
24044	-0,189063	24044	-1,35448	24044	1,02068	
24045	-0,24688	24045	-1,40165	24045	0,952563	
24046	-0,309384	24046	-1,38946	24046	0,856642	
24047	-0,366575	24047	-1,43039	24047	0,772594	
24048	-0,414391	24048	-1,41258	24048	0,680423	
24049	-0,462519	24049	-1,41321	24049	0,576691	
24050	-0,522211	24050	-1,38978	24050	0,471397	
24051	-0,564401	24051	-1,35229	24051	0,361728	
24052	-0,596591	24052	-1,35354	24052	0,258934	
24053	-0,631906	24053	-1,29575	24053	0,14739	
24054	-0,672534	24054	-1,21984	24054	0,0308483	
24055	-0,704411	24055	-1,18267	24055	-0,0694468	
24056	-0,724412	24056	-1,10489	24056	-0,187551	
24057	-0,750352	24057	-1,04304	24057	-0,293783	
24058	-0,76254	24058	-0,970254	24058	-0,399702	
24059	-0,777854	24059	-0,916524	24059	-0,499997	
24060	-0,786604	24060	-0,804381	24060	-0,607165	
24061	-0,79848	24061	-0,683803	24061	-0,713397	
24062	-0,750664	24062	-0,591964	24062	-0,805568	
24063	-0,775978	24063	-0,497625	24063	-0,89399	
24064	-0,760352	24064	-0,393291	24064	-0,972726	
24065	-0,740351	24065	-0,282397	24065	-1,05021	
24066	-0,718787	24066	-0,153697	24066	-1,12989	
24067	-0,69316	24067	-0,0824747	24067	-1,18394	
24068	-0,667221	24068	0,0593451	24068	-1,24549	
24069	-0,623155	24069	0,14275	24069	-1,28736	
