Time - Plot 0	Amplitude - Plot 0	Time - Plot 1	Amplitude - Plot 1	Time - Plot 2	Amplitude - Plot 2	
24000	-0,00592556	24000	1,17391	24000	-1,27736	
24001	-0,000300176	24001	1,23639	24001	-1,223	
24002	0,0128257	24002	1,27512	24002	-1,16863	
24003	0,0147009	24003	1,30011	24003	-1,09458	
24004	0,0175136	24004	1,33729	24004	-1,01709	
24005	0,0300144	24005	1,37821	24005	-0,945544	
24006	0,0365774	24006	1,41038	24006	-0,862433	
24007	0,0409527	24007	1,42319	24007	-0,770262	
24008	0,0475156	24008	1,41975	24008	-0,675278	
24009	0,0509534	24009	1,41694	24009	-0,574359	
24010	0,0590789	24010	1,37571	24010	-0,468127	
24011	0,0631417	24011	1,37258	24011	-0,368145	
24012	0,0706422	24012	1,31573	24012	-0,256289	
24013	0,0709547	24013	1,28855	24013	-0,144746	
24014	0,074705	24014	1,26638	24014	-0,0382022	
24015	0,0806429	24015	1,19515	24015	0,0711537	
24016	0,0797053	24016	1,13205	24016	0,187071	
24017	0,0872059	24017	1,06427	24017	0,290178	
24018	0,0884559	24018	0,971178	24018	0,399534	
24019	0,0915812	24019	0,88215	24019	0,503578	
24020	0,0922062	24020	0,824985	24020	0,599187	
24021	0,0878309	24021	0,697847	24021	0,710105	
24022	0,0872059	24022	0,615691	24022	0,801652	
24023	0,0903311	24023	0,494488	24023	0,891011	
24024	0,0872059	24024	0,388904	24024	0,97131	
24025	0,0828306	24025	0,303313	24025	1,04973	
24026	0,0831431	24026	0,177112	24026	1,12191	
24027	0,07533	24027	0,0712155	24027	1,19158	
24028	0,0734549	24028	-0,0481131	24028	1,24939	
24029	0,0718923	24029	-0,149636	24029	1,28907	
24030	0,0693921	24030	-0,269277	24030	1,33562	
24031	0,0653293	24031	-0,385482	24031	1,36749	
24032	0,0584539	24032	-0,462327	24032	1,38686	
24033	0,0512659	24033	-0,563225	24033	1,4053	
24034	0,045953	24034	-0,700046	24034	1,41748	
24035	0,0406401	24035	-0,765021	24035	1,41061	
24036	0,0328271	24036	-0,865607	24036	1,40217	
24037	0,0272017	24037	-0,977438	24037	1,3903	
24038	0,016576	24038	-1,02117	24038	1,35843	
24039	0,0109506	24039	-1,0799	24039	1,32094	
24040	0,00563773	24040	-1,14206	24040	1,27313	
24041	-0,00123774	24041	-1,23359	24041	1,2247	
24042	-0,00467548	24042	-1,28825	24042	1,16471	
24043	-0,0131136	24043	-1,31824	24043	1,09879	
