Time - Plot 0	Amplitude - Plot 0	Time - Plot 1	Amplitude - Plot 1	Time - Plot 2	Amplitude - Plot 2	
0	0,110957	0	-0,800945	0	-0,60779	
1	0,000324867	1	-0,706919	1	-0,706523	
2	-0,109995	2	-0,607895	2	-0,800257	
3	-0,221565	3	-0,506684	3	-0,889304	
4	-0,329698	4	-0,401413	4	-0,973039	
5	-0,435643	5	-0,293955	5	-1,0499	
6	-0,5419	6	-0,18556	6	-1,12239	
7	-0,641594	7	-0,0743528	7	-1,1855	
8	-0,738163	8	0,0371662	8	-1,24205	
9	-0,83067	9	0,148373	9	-1,29111	
10	-0,918176	10	0,257705	10	-1,33329	
11	-1,00037	11	0,365164	11	-1,36578	
12	-1,07537	12	0,471997	12	-1,39015	
13	-1,14382	13	0,575082	13	-1,4064	
14	-1,20445	14	0,675355	14	-1,41265	
15	-1,25976	15	0,770631	15	-1,41202	
16	-1,30601	16	0,860283	16	-1,4014	
17	-1,34352	17	0,9465	17	-1,38234	
18	-1,37571	18	1,02491	18	-1,3561	
19	-1,3979	19	1,09863	19	-1,32048	
20	-1,40977	20	1,1661	20	-1,27611	
21	-1,41321	21	1,22483	21	-1,22456	
22	-1,4104	22	1,277	22	-1,16488	
23	-1,39602	23	1,31979	23	-1,09864	
24	-1,37446	24	1,35603	24	-1,02553	
25	-1,34602	25	1,38196	25	-0,947106	
26	-1,30539	26	1,4032	26	-0,859934	
27	-1,26007	27	1,41257	27	-0,769325	
28	-1,20538	28	1,41351	28	-0,674341	
29	-1,14319	29	1,40695	29	-0,574359	
30	-1,07569	30	1,38976	30	-0,472501	
31	-0,999744	31	1,36571	31	-0,365645	
32	-0,918176	32	1,33229	32	-0,257851	
33	-0,83067	33	1,29137	33	-0,147246	
34	-0,739101	34	1,24295	34	-0,03664	
35	-0,640969	35	1,18578	35	0,0742782	
36	-0,54065	36	1,12206	36	0,185196	
37	-0,438143	37	1,0499	37	0,29299	
38	-0,329385	38	0,973989	38	0,402658	
39	-0,221253	39	0,889647	39	0,507328	
40	-0,111558	40	0,800619	40	0,60856	
41	0,00094991	41	0,70753	41	0,707918	
42	0,11002	42	0,607882	42	0,799777	
43	0,221278	43	0,506983	43	0,889449	
44	0,330348	44	0,402024	44	0,973809	
45	0,436605	45	0,293941	45	1,05036	
46	0,540675	46	0,183984	46	1,12128	
47	0,641619	47	0,0737145	47	1,18596	
48	0,739126	48	-0,0371798	48	1,24345	
49	0,83007	49	-0,149324	49	1,29094	
50	0,918826	50	-0,256782	50	1,33375	
51	1,00039	51	-0,365489	51	1,36687	
52	1,07446	52	-0,472635	52	1,3903	
53	1,14478	53	-0,57447	53	1,40717	
54	1,20541	54	-0,674744	54	1,41311	
55	1,25947	55	-0,770644	55	1,41186	
56	1,30635	56	-0,860921	56	1,40248	
57	1,34604	57	-0,945576	57	1,38343	
58	1,37511	58	-1,02586	58	1,35562	
59	1,39667	59	-1,09895	59	1,32	
60	1,41105	60	-1,16424	60	1,27782	
61	1,41355	61	-1,22578	61	1,22377	
62	1,41074	62	-1,27607	62	1,16596	
63	1,3973	63	-1,3198	63	1,09941	
64	1,37448	64	-1,35542	64	1,02599	
65	1,34542	65	-1,38322	65	0,946939	
66	1,30698	66	-1,40196	66	0,860704	
67	1,25885	67	-1,41289	67	0,769157	
68	1,20541	68	-1,41383	68	0,674486	
69	1,14447	69	-1,40571	69	0,576066	
70	1,0754	70	-1,39071	70	0,471709	
71	0,999769	71	-1,36541	71	0,36579	
72	0,919139	72	-1,33261	72	0,258934	
73	0,83007	73	-1,29294	73	0,14739	
74	0,738501	74	-1,24296	74	0,0367847	
75	0,642869	75	-1,18579	75	-0,073821	
76	0,540987	76	-1,12176	76	-0,184114	
77	0,43598	77	-1,05147	77	-0,293783	
78	0,330973	78	-0,97244	78	-0,400951	
79	0,221278	79	-0,889972	79	-0,506558	
80	0,110645	80	-0,801257	80	-0,608728	
81	0,00157495	81	-0,705982	81	-0,705898	
82	-0,111245	82	-0,609457	82	-0,800257	
83	-0,220315	83	-0,50606	83	-0,888991	
84	-0,329385	84	-0,400788	84	-0,972726	
85	-0,438455	85	-0,295204	85	-1,05146	
86	-0,54065	86	-0,184622	86	-1,12145	
87	-0,640657	87	-0,0734157	87	-1,18519	
88	-0,739101	88	0,0365415	88	-1,24205	
89	-0,830357	89	0,147748	89	-1,29111	
90	-0,918176	90	0,257081	90	-1,33266	
91	-1,00006	91	0,365476	91	-1,36578	
92	-1,07569	92	0,47106	92	-1,39109	
93	-1,14319	93	0,576019	93	-1,40546	
94	-1,20538	94	0,675043	94	-1,41296	
95	-1,26007	95	0,770318	95	-1,41202	
96	-1,30476	96	0,861845	96	-1,40109	
97	-1,3457	97	0,94525	97	-1,38297	
98	-1,37477	98	1,02584	98	-1,35547	
99	-1,39633	99	1,09894	99	-1,32017	
100	-1,40915	100	1,16579	100	-1,27549	
101	-1,41446	101	1,2242	101	-1,22424	
102	-1,40915	102	1,277	102	-1,16519	
103	-1,39633	103	1,31948	103	-1,09927	
104	-1,37571	104	1,35509	104	-1,02584	
105	-1,34383	105	1,38383	105	-0,945231	
106	-1,30695	106	1,40195	106	-0,860871	
107	-1,25976	107	1,41194	107	-0,769637	
108	-1,20413	108	1,41476	108	-0,673716	
109	-1,14444	109	1,4057	109	-0,575921	
110	-1,07537	110	1,39039	110	-0,471877	
111	-0,998806	111	1,36602	111	-0,365958	
112	-0,918488	112	1,33229	112	-0,258164	
113	-0,830982	113	1,29168	113	-0,146933	
114	-0,738163	114	1,24232	114	-0,0369524	
115	-0,642532	115	1,18516	115	0,0736533	
116	-0,541587	116	1,12112	116	0,184571	
117	-0,43658	117	1,05052	117	0,294552	
118	-0,330323	118	0,973052	118	0,401096	
119	-0,22094	119	0,889647	119	0,507015	
120	-0,11062	120	0,801244	120	0,609497	
121	-0,000612698	121	0,705968	121	0,706356	
122	0,111583	122	0,609443	122	0,801652	
123	0,22159	123	0,506671	123	0,890074	
124	0,330035	124	0,402024	124	0,973184	
125	0,43723	125	0,294254	125	1,05161	
126	0,540362	126	0,183359	126	1,12128	
127	0,642244	127	0,0743393	127	1,18658	
128	0,738501	128	-0,0374922	128	1,24282	
129	0,831632	129	-0,146825	129	1,29313	
130	0,918513	130	-0,258031	130	1,33375	
131	0,999769	131	-0,366114	131	1,36624	
132	1,07571	132	-0,471386	132	1,39155	
133	1,1429	133	-0,576345	133	1,40623	
134	1,20635	134	-0,673807	134	1,41405	
135	1,2601	135	-0,770332	135	1,41217	
136	1,30635	136	-0,860609	136	1,40186	
137	1,34479	137	-0,945576	137	1,38311	
138	1,37417	138	-1,02617	138	1,35531	
139	1,39605	139	-1,09927	139	1,32	
140	1,41011	140	-1,16518	140	1,27657	
141	1,41417	141	-1,2239	141	1,22502	
142	1,40917	142	-1,27701	142	1,16471	
143	1,3973	143	-1,31949	143	1,0991	
144	1,3748	144	-1,35604	144	1,0263	
145	1,34323	145	-1,3854	145	0,945064	
146	1,30635	146	-1,40196	146	0,861329	
147	1,26041	147	-1,41258	147	0,770719	
148	1,20541	148	-1,41352	148	0,674799	
149	1,14478	149	-1,4054	149	0,575753	
150	1,07571	150	-1,39009	150	0,472021	
151	0,999457	151	-1,36604	151	0,366102	
152	0,917263	152	-1,33386	152	0,257371	
153	0,831945	153	-1,29138	153	0,148953	
154	0,738501	154	-1,24233	154	0,0374096	
155	0,642244	155	-1,18579	155	-0,0731961	
156	0,540987	156	-1,12176	156	-0,183802	
157	0,435355	157	-1,05241	157	-0,295032	
158	0,330348	158	-0,97244	158	-0,400639	
159	0,222215	159	-0,88966	159	-0,506246	
160	0,111583	160	-0,800632	160	-0,608415	
161	1,23455E-5	161	-0,706919	161	-0,706835	
162	-0,111558	162	-0,609144	162	-0,801194	
163	-0,221253	163	-0,506372	163	-0,889928	
164	-0,329385	164	-0,401725	164	-0,973351	
165	-0,43658	165	-0,293642	165	-1,04928	
166	-0,542212	166	-0,185247	166	-1,12208	
167	-0,641594	167	-0,0743528	167	-1,18613	
168	-0,737851	168	0,0371662	168	-1,24174	
169	-0,83192	169	0,146499	169	-1,29236	
170	-0,918801	170	0,257081	170	-1,33266	
171	-0,999744	171	0,366101	171	-1,36547	
172	-1,07506	172	0,471997	172	-1,38984	
173	-1,14413	173	0,574769	173	-1,40609	
174	-1,20445	174	0,674731	174	-1,41296	
175	-1,25945	175	0,770631	175	-1,4114	
176	-1,30664	176	0,860596	176	-1,40296	
177	-1,34352	177	0,947437	177	-1,38203	
178	-1,37508	178	1,02553	178	-1,35516	
179	-1,39665	179	1,09863	179	-1,32017	
180	-1,40915	180	1,16579	180	-1,2758	
181	-1,41477	181	1,22358	181	-1,22487	
182	-1,41071	182	1,27637	182	-1,16551	
183	-1,39665	183	1,3201	183	-1,09864	
184	-1,37414	184	1,35603	184	-1,02428	
185	-1,34477	185	1,38289	185	-0,945856	
186	-1,30664	186	1,40132	186	-0,861183	
187	-1,26007	187	1,41194	187	-0,769637	
188	-1,20601	188	1,41319	188	-0,674966	
189	-1,14319	189	1,40632	189	-0,574671	
190	-1,07537	190	1,3907	190	-0,471564	
191	-0,999744	191	1,36634	191	-0,365333	
192	-0,918488	192	1,33291	192	-0,257227	
193	-0,83067	193	1,29074	193	-0,147558	
194	-0,739413	194	1,24232	194	-0,0372649	
195	-0,642844	195	1,18516	195	0,0742782	
196	-0,540025	196	1,12237	196	0,185509	
197	-0,437205	197	1,05052	197	0,293927	
198	-0,329698	198	0,973052	198	0,401409	
199	-0,221253	199	0,890272	199	0,507328	
200	-0,111558	200	0,799682	200	0,60856	
