Time - Plot 0	Amplitude - Plot 0	Time - Plot 1	Amplitude - Plot 1	Time - Plot 2	Amplitude - Plot 2	
0	0,00094991	0	0,000930345	0	0,00116593	
1	0,000324867	1	-0,706606	1	-0,706523	
2	-0,11062	2	-0,609144	2	-0,800569	
3	-0,221878	3	-0,507621	3	-0,890553	
4	-0,330323	4	-0,401413	4	-0,973039	
5	-0,43658	5	-0,294267	5	-1,05053	
6	-0,540337	6	-0,183685	6	-1,12114	
7	-0,641594	7	-0,0740404	7	-1,18488	
8	-0,739101	8	0,0371662	8	-1,24268	
9	-0,83067	9	0,148061	9	-1,29142	
10	-0,919113	10	0,257705	10	-1,33235	
11	-0,999431	11	0,365788	11	-1,36547	
12	-1,07694	12	0,470435	12	-1,39172	
13	-1,14382	13	0,575082	13	-1,40609	
14	-1,2057	14	0,674731	14	-1,41327	
15	-1,25914	15	0,771568	15	-1,41109	
16	-1,30633	16	0,860596	16	-1,40203	
17	-1,34539	17	0,945563	17	-1,38359	
18	-1,37414	18	1,02678	18	-1,35516	
19	-1,39508	19	1,09863	19	-1,31923	
20	-1,41008	20	1,16516	20	-1,27611	
21	-1,41477	21	1,22358	21	-1,22549	
22	-1,40977	22	1,27637	22	-1,16519	
23	-1,39665	23	1,32073	23	-1,09895	
24	-1,37446	24	1,35697	24	-1,0249	
25	-1,34508	25	1,38289	25	-0,946169	
26	-1,3057	26	1,40164	26	-0,860559	
27	-1,25945	27	1,41319	27	-0,769325	
28	-1,20445	28	1,41413	28	-0,674029	
29	-1,1435	29	1,40663	29	-0,574671	
30	-1,07662	30	1,38914	30	-0,473126	
31	-0,999431	31	1,36602	31	-0,365333	
32	-0,919426	32	1,33291	32	-0,257851	
33	-0,830357	33	1,2923	33	-0,146933	
34	-0,739101	34	1,24295	34	-0,0369524	
35	-0,641594	35	1,18547	35	0,0742782	
36	-0,54065	36	1,12237	36	0,184884	
37	-0,436268	37	1,05083	37	0,294552	
38	-0,329385	38	0,973052	38	0,401721	
39	-0,221878	39	0,889022	39	0,50639	
40	-0,11062	40	0,800619	40	0,609185	
41	1,23455E-5	41	0,707218	41	0,707605	
42	0,111583	42	0,608819	42	0,801339	
43	0,221278	43	0,506983	43	0,890074	
44	0,32941	44	0,401712	44	0,973497	
45	0,437855	45	0,294254	45	1,05161	
46	0,5413	46	0,184609	46	1,12191	
47	0,641932	47	0,0740269	47	1,18627	
48	0,737563	48	-0,0381169	48	1,24189	
49	0,83132	49	-0,147137	49	1,29219	
50	0,919451	50	-0,257407	50	1,33312	
51	0,999457	51	-0,365177	51	1,36687	
52	1,07509	52	-0,472323	52	1,39061	
53	1,14415	53	-0,57447	53	1,40655	
54	1,20697	54	-0,673494	54	1,41436	
55	1,25916	55	-0,770956	55	1,41186	
56	1,30604	56	-0,861546	56	1,40248	
57	1,34417	57	-0,946825	57	1,38218	
58	1,3748	58	-1,02554	58	1,35656	
59	1,39698	59	-1,09895	59	1,32094	
60	1,41105	60	-1,16424	60	1,27657	
61	1,41386	61	-1,22547	61	1,22502	
62	1,41011	62	-1,27638	62	1,16503	
63	1,39761	63	-1,31949	63	1,09972	
64	1,37511	64	-1,35635	64	1,02536	
65	1,34479	65	-1,38415	65	0,946626	
66	1,30542	66	-1,4029	66	0,860079	
67	1,26072	67	-1,41196	67	0,770407	
68	1,20635	68	-1,41321	68	0,675111	
69	1,14478	69	-1,40602	69	0,575753	
70	1,07446	70	-1,39134	70	0,472334	
71	1,00008	71	-1,3651	71	0,366415	
72	0,918201	72	-1,33292	72	0,257996	
73	0,831632	73	-1,29138	73	0,148015	
74	0,738813	74	-1,24233	74	0,0370972	
75	0,641619	75	-1,18704	75	-0,0747583	
76	0,5413	76	-1,12113	76	-0,183802	
77	0,437543	77	-1,05053	77	-0,292845	
78	0,331598	78	-0,972128	78	-0,400327	
79	0,220653	79	-0,890285	79	-0,506246	
80	0,110645	80	-0,801569	80	-0,608728	
81	1,23455E-5	81	-0,706919	81	-0,706835	
82	-0,11062	82	-0,609144	82	-0,799944	
83	-0,221253	83	-0,506684	83	-0,889928	
84	-0,33126	84	-0,40235	84	-0,973976	
85	-0,435955	85	-0,293642	85	-1,05021	
86	-0,542212	86	-0,184935	86	-1,12239	
87	-0,640657	87	-0,0734157	87	-1,18519	
88	-0,738788	88	0,0365415	88	-1,24299	
89	-0,830357	89	0,147436	89	-1,29111	
90	-0,917551	90	0,258018	90	-1,33204	
91	-0,999431	91	0,365476	91	-1,36578	
92	-1,07537	92	0,471372	92	-1,38984	
93	-1,14413	93	0,573832	93	-1,40671	
94	-1,20538	94	0,675355	94	-1,41296	
95	-1,25882	95	0,770631	95	-1,4114	
96	-1,30539	96	0,86122	96	-1,40078	
97	-1,34508	97	0,945875	97	-1,38328	
98	-1,37539	98	1,02522	98	-1,35516	
99	-1,39571	99	1,09988	99	-1,31954	
100	-1,41008	100	1,16579	100	-1,27549	
101	-1,41383	101	1,22483	101	-1,22424	
102	-1,41071	102	1,27512	102	-1,16613	
103	-1,39665	103	1,32042	103	-1,09864	
104	-1,37289	104	1,35728	104	-1,02459	
105	-1,34477	105	1,38383	105	-0,945231	
106	-1,30601	106	1,40195	106	-0,860559	
107	-1,25976	107	1,41194	107	-0,769012	
108	-1,20538	108	1,41351	108	-0,674341	
109	-1,14319	109	1,4057	109	-0,575296	
110	-1,07475	110	1,39133	110	-0,471252	
111	-1,00037	111	1,3654	111	-0,366582	
112	-0,918801	112	1,3326	112	-0,257539	
113	-0,829107	113	1,29293	113	-0,146933	
114	-0,737851	114	1,24357	114	-0,0357026	
115	-0,641594	115	1,18609	115	0,0745906	
116	-0,54065	116	1,12174	116	0,185196	
117	-0,437518	117	1,05052	117	0,29424	
118	-0,329073	118	0,973052	118	0,402034	
119	-0,221253	119	0,890272	119	0,507328	
120	-0,111558	120	0,799682	120	0,607935	
121	-0,000300176	121	0,706906	121	0,706981	
122	0,110645	122	0,608506	122	0,800714	
123	0,221903	123	0,507608	123	0,891011	
124	0,330035	124	0,402024	124	0,974434	
125	0,43723	125	0,294254	125	1,05098	
126	0,5413	126	0,184609	126	1,12191	
127	0,642557	127	0,0740269	127	1,18627	
128	0,739439	128	-0,0362427	128	1,24314	
129	0,829757	129	-0,149011	129	1,29094	
130	0,918826	130	-0,257407	130	1,33312	
131	0,998832	131	-0,367051	131	1,36562	
132	1,07634	132	-0,470761	132	1,39124	
