Time - Plot 0	Amplitude - Plot 0	Time - Plot 1	Amplitude - Plot 1	Time - Plot 2	Amplitude - Plot 2	
0	0,000324867	0	-0,000319168	0	0,00116593	
1	-0,00155026	1	-0,708481	1	-0,70871	
2	-0,109995	2	-0,608207	2	-0,800257	
3	-0,22094	3	-0,506684	3	-0,889304	
4	-0,329698	4	-0,4011	4	-0,973039	
5	-0,435643	5	-0,293642	5	-1,04959	
6	-0,540962	6	-0,18431	6	-1,12145	
7	-0,641907	7	-0,0740404	7	-1,18644	
8	-0,739413	8	0,0362291	8	-1,2433	
9	-0,829732	9	0,148685	9	-1,29142	
10	-0,917863	10	0,258018	10	-1,33329	
11	-0,999744	11	0,365788	11	-1,36547	
12	-1,07475	12	0,472309	12	-1,38922	
13	-1,14288	13	0,574769	13	-1,40609	
14	-1,2057	14	0,674418	14	-1,41359	
15	-1,25976	15	0,770318	15	-1,41171	
16	-1,30508	16	0,861533	16	-1,40046	
17	-1,34539	17	0,946187	17	-1,38297	
18	-1,37477	18	1,02616	18	-1,35547	
19	-1,39571	19	1,09957	19	-1,31954	
20	-1,41071	20	1,16485	20	-1,27674	
21	-1,41383	21	1,22514	21	-1,22424	
22	-1,40946	22	1,27668	22	-1,16488	
23	-1,39633	23	1,32073	23	-1,09833	
24	-1,37477	24	1,35603	24	-1,02522	
25	-1,34477	25	1,38258	25	-0,946169	
26	-1,30758	26	1,40132	26	-0,860871	
27	-1,26132	27	1,41132	27	-0,770887	
28	-1,20445	28	1,41413	28	-0,673716	
29	-1,1435	29	1,40663	29	-0,574984	
30	-1,07475	30	1,39008	30	-0,471564	
31	-0,999119	31	1,36634	31	-0,365333	
32	-0,918801	32	1,33197	32	-0,257851	
33	-0,831295	33	1,29168	33	-0,147246	
34	-0,739413	34	1,24263	34	-0,03664	
35	-0,641594	35	1,18547	35	0,0745906	
36	-0,541275	36	1,12237	36	0,185821	
37	-0,436268	37	1,05115	37	0,294552	
38	-0,329698	38	0,973989	38	0,402658	
39	-0,221878	39	0,889335	39	0,50639	
40	-0,109683	40	0,801556	40	0,610435	
41	0,000324867	41	0,706906	41	0,707605	
42	0,110645	42	0,608506	42	0,801339	
43	0,221903	43	0,506983	43	0,891011	
44	0,32941	44	0,401399	44	0,972872	
45	0,436605	45	0,293941	45	1,0513	
46	0,540675	46	0,184296	46	1,12128	
47	0,644119	47	0,0752764	47	1,18783	
48	0,738501	48	-0,0374922	48	1,24314	
49	0,831007	49	-0,148074	49	1,29157	
50	0,919451	50	-0,256782	50	1,33406	
51	0,999457	51	-0,367051	51	1,36562	
52	1,07446	52	-0,472635	52	1,39061	
53	1,14384	53	-0,575408	53	1,40655	
54	1,20603	54	-0,674119	54	1,41467	
55	1,2601	55	-0,770644	55	1,41248	
56	1,30667	56	-0,860296	56	1,40248	
57	1,34573	57	-0,946513	57	1,38343	
58	1,37417	58	-1,02648	58	1,35531	
59	1,39698	59	-1,09802	59	1,32094	
60	1,41105	60	-1,16518	60	1,27688	
61	1,41449	61	-1,22453	61	1,22439	
62	1,4098	62	-1,27607	62	1,16628	
63	1,39605	63	-1,32074	63	1,09879	
64	1,37511	64	-1,35604	64	1,02599	
65	1,34573	65	-1,38322	65	0,946314	
66	1,3076	66	-1,40071	66	0,861954	
67	1,25947	67	-1,41289	67	0,769782	
68	1,20572	68	-1,41321	68	0,674799	
69	1,14478	69	-1,40571	69	0,576378	
70	1,07415	70	-1,39134	70	0,471397	
71	0,998832	71	-1,36572	71	0,366102	
72	0,918826	72	-1,33261	72	0,258621	
73	0,832257	73	-1,29107	73	0,14864	
74	0,738501	74	-1,24265	74	0,0374096	
75	0,642557	75	-1,18548	75	-0,0735086	
76	0,5413	76	-1,12176	76	-0,184427	
77	0,435667	77	-1,05178	77	-0,294095	
78	0,33066	78	-0,97244	78	-0,400014	
79	0,221278	79	-0,88966	79	-0,50687	
80	0,110645	80	-0,801257	80	-0,608415	
81	0,000637388	81	-0,706294	81	-0,705898	
82	-0,11187	82	-0,610394	82	-0,801506	
83	-0,221253	83	-0,506372	83	-0,888991	
84	-0,329698	84	-0,401413	84	-0,973039	
85	-0,435955	85	-0,293018	85	-1,0499	
86	-0,541275	86	-0,184935	86	-1,12176	
87	-0,641594	87	-0,0737281	87	-1,1855	
88	-0,738163	88	0,037791	88	-1,24205	
89	-0,83192	89	0,146499	89	-1,29236	
90	-0,918488	90	0,257081	90	-1,33266	
91	-0,998806	91	0,366413	91	-1,36578	
92	-1,07444	92	0,471997	92	-1,38922	
93	-1,14413	93	0,575394	93	-1,40546	
94	-1,20445	94	0,675355	94	-1,41296	
95	-1,25914	95	0,771255	95	-1,4114	
96	-1,30726	96	0,859971	96	-1,40234	
97	-1,34539	97	0,946187	97	-1,38265	
98	-1,37477	98	1,02584	98	-1,35516	
99	-1,39665	99	1,09863	99	-1,31985	
100	-1,41008	100	1,16516	100	-1,27611	
101	-1,41321	101	1,22452	101	-1,22424	
102	-1,40977	102	1,27637	102	-1,16519	
103	-1,39758	103	1,31917	103	-1,09927	
104	-1,37446	104	1,35665	104	-1,02459	
105	-1,34508	105	1,3832	105	-0,946169	
106	-1,30539	106	1,40226	106	-0,860246	
107	-1,25976	107	1,41257	107	-0,769325	
108	-1,20601	108	1,41288	108	-0,675278	
109	-1,1435	109	1,4057	109	-0,574359	
110	-1,07475	110	1,39008	110	-0,471252	
111	-0,999431	111	1,36634	111	-0,36502	
112	-0,918488	112	1,33322	112	-0,257227	
113	-0,830357	113	1,2923	113	-0,147558	
114	-0,738163	114	1,24388	114	-0,0357026	
115	-0,643157	115	1,18453	115	0,0730284	
116	-0,540337	116	1,12174	116	0,185196	
117	-0,436893	117	1,05083	117	0,29424	
118	-0,33001	118	0,973364	118	0,401721	
119	-0,21969	119	0,891209	119	0,507953	
120	-0,110933	120	0,800307	120	0,608873	
121	-0,000300176	121	0,707218	121	0,706981	
122	0,110332	122	0,608819	122	0,800714	
123	0,222528	123	0,507608	123	0,890699	
124	0,32941	124	0,401399	124	0,973184	
125	0,436918	125	0,293629	125	1,05098	
126	0,542237	126	0,185858	126	1,12285	
127	0,641619	127	0,0730897	127	1,18471	
128	0,739126	128	-0,0371798	128	1,24314	
129	0,830695	129	-0,147762	129	1,29219	
130	0,918513	130	-0,258031	130	1,33312	
131	1,00071	131	-0,365177	131	1,36655	
132	1,07509	132	-0,471698	132	1,39061	
133	1,14353	133	-0,575408	133	1,40655	
134	1,20541	134	-0,675369	134	1,41311	
135	1,26072	135	-0,769394	135	1,41311	
136	1,30573	136	-0,861546	136	1,40217	
137	1,34448	137	-0,946513	137	1,3828	
138	1,37511	138	-1,02586	138	1,35656	
139	1,39605	139	-1,09989	139	1,31937	
140	1,40949	140	-1,1658	140	1,27657	
141	1,41449	141	-1,22422	141	1,22564	
142	1,4098	142	-1,27638	142	1,16534	
143	1,39636	143	-1,32012	143	1,09941	
144	1,37448	144	-1,35573	144	1,02599	
145	1,34479	145	-1,38353	145	0,946314	
146	1,30635	146	-1,4029	146	0,860391	
147	1,26041	147	-1,41164	147	0,770407	
148	1,20572	148	-1,41383	148	0,674486	
149	1,14384	149	-1,40602	149	0,574816	
150	1,07665	150	-1,38978	150	0,472959	
151	0,998519	151	-1,36666	151	0,365477	
152	0,917888	152	-1,33324	152	0,258309	
153	0,831945	153	-1,29169	153	0,14864	
154	0,739751	154	-1,24233	154	0,0377221	
155	0,641932	155	-1,18642	155	-0,073821	
156	0,540987	156	-1,12144	156	-0,184427	
157	0,437855	157	-1,05116	157	-0,29347	
158	0,328785	158	-0,974002	158	-0,402514	
159	0,220965	159	-0,889035	159	-0,506246	
160	0,11127	160	-0,800632	160	-0,60779	
161	0,000637388	161	-0,706919	161	-0,706835	
162	-0,110933	162	-0,609144	162	-0,800569	
163	-0,220315	163	-0,506372	163	-0,889616	
164	-0,330635	164	-0,402038	164	-0,973039	
165	-0,437518	165	-0,29458	165	-1,05115	
166	-0,540337	166	-0,183685	166	-1,12083	
167	-0,642532	167	-0,0740404	167	-1,18581	
168	-0,738788	168	0,0368539	168	-1,24205	
169	-0,830357	169	0,148685	169	-1,29048	
170	-0,919738	170	0,256768	170	-1,3336	
171	-0,999744	171	0,365788	171	-1,36578	
172	-1,076	172	0,472309	172	-1,39015	
173	-1,14319	173	0,575707	173	-1,40546	
174	-1,20601	174	0,674418	174	-1,4139	
175	-1,25882	175	0,770318	175	-1,41171	
176	-1,30664	176	0,860596	176	-1,40171	
177	-1,34664	177	0,94525	177	-1,38422	
178	-1,37352	178	1,02678	178	-1,35485	
179	-1,39633	179	1,09894	179	-1,31985	
180	-1,40946	180	1,16516	180	-1,27549	
181	-1,41321	181	1,22545	181	-1,22331	
182	-1,41008	182	1,27575	182	-1,16582	
183	-1,39727	183	1,32042	183	-1,09895	
184	-1,37539	184	1,3554	184	-1,02553	
185	-1,34477	185	1,38289	185	-0,945856	
186	-1,30664	186	1,40132	186	-0,860559	
187	-1,25914	187	1,41194	187	-0,769637	
188	-1,20538	188	1,41413	188	-0,674341	
189	-1,14475	189	1,40476	189	-0,576233	
190	-1,07537	190	1,39164	190	-0,471877	
191	-0,999744	191	1,36602	191	-0,365333	
192	-0,918176	192	1,33229	192	-0,257227	
193	-0,83067	193	1,29199	193	-0,147246	
194	-0,738163	194	1,24232	194	-0,03664	
195	-0,641907	195	1,18609	195	0,0742782	
196	-0,5419	196	1,12081	196	0,184571	
197	-0,436893	197	1,05052	197	0,294865	
198	-0,33001	198	0,973677	198	0,402346	
199	-0,22094	199	0,889959	199	0,507015	
200	-0,110308	200	0,800931	200	0,60981	
201	1,23455E-5	201	0,706593	201	0,706356	
202	0,109707	202	0,607882	202	0,800714	
203	0,220965	203	0,506671	203	0,889449	
204	0,330973	204	0,402337	204	0,973809	
205	0,436918	205	0,293004	205	1,05098	
206	0,541925	206	0,184921	206	1,12222	
207	0,642557	207	0,0746516	207	1,18658	
208	0,737876	208	-0,0381169	208	1,24189	
209	0,83132	209	-0,147449	209	1,2925	
210	0,918201	210	-0,257719	210	1,33312	
211	1,00039	211	-0,365802	211	1,36687	
212	1,07509	212	-0,47201	212	1,39124	
213	1,14447	213	-0,575095	213	1,40655	
214	1,2051	214	-0,675056	214	1,41373	
215	1,25854	215	-0,770956	215	1,41155	
216	1,30792	216	-0,860296	216	1,4028	
217	1,34542	217	-0,9462	217	1,38374	
218	1,37511	218	-1,02648	218	1,35562	
219	1,39823	219	-1,09864	219	1,32125	
220	1,4098	220	-1,16518	220	1,27594	
221	1,41292	221	-1,22578	221	1,22377	
