Time - Plot 0	Amplitude - Plot 0	Time - Plot 1	Amplitude - Plot 1	Time - Plot 2	Amplitude - Plot 2	
0	0,000324867	0	-6,7895E-6	0	0,000541036	
1	0,000324867	1	-0,706606	1	-0,706211	
2	-0,11187	2	-0,610082	2	-0,801506	
3	-0,22094	3	-0,506684	3	-0,889616	
4	-0,329073	4	-0,4011	4	-0,972726	
5	-0,43658	5	-0,294267	5	-1,0499	
6	-0,541275	6	-0,184935	6	-1,12145	
7	-0,641282	7	-0,0737281	7	-1,1855	
8	-0,738788	8	0,0365415	8	-1,24268	
9	-0,832232	9	0,146811	9	-1,29236	
10	-0,917238	10	0,25833	10	-1,33266	
11	-0,999744	11	0,365476	11	-1,36578	
12	-1,07475	12	0,471372	12	-1,39015	
13	-1,14413	13	0,575082	13	-1,40578	
14	-1,20476	14	0,674418	14	-1,41359	
15	-1,25976	15	0,770006	15	-1,41234	
16	-1,30726	16	0,859659	16	-1,40296	
17	-1,34414	17	0,946812	17	-1,38203	
18	-1,37508	18	1,02553	18	-1,35578	
19	-1,39696	19	1,09832	19	-1,31923	
20	-1,41133	20	1,16423	20	-1,27705	
21	-1,41383	21	1,22389	21	-1,22456	
22	-1,41102	22	1,27543	22	-1,16582	
23	-1,39633	23	1,32042	23	-1,09833	
24	-1,37446	24	1,35634	24	-1,02553	
25	-1,34539	25	1,38258	25	-0,945856	
26	-1,30539	26	1,40132	26	-0,860246	
27	-1,26007	27	1,41194	27	-0,769325	
28	-1,20663	28	1,41194	28	-0,675591	
29	-1,14319	29	1,40695	29	-0,574671	
30	-1,07444	30	1,3907	30	-0,470939	
31	-0,999119	31	1,36602	31	-0,365333	
32	-0,918488	32	1,33322	32	-0,257539	
33	-0,830045	33	1,29199	33	-0,146933	
34	-0,738788	34	1,24263	34	-0,03664	
35	-0,642532	35	1,18484	35	0,0733408	
36	-0,540025	36	1,12268	36	0,185821	
37	-0,436893	37	1,05115	37	0,295177	
38	-0,33001	38	0,972427	38	0,401096	
39	-0,220315	39	0,890584	39	0,507953	
40	-0,111558	40	0,799682	40	0,608248	
41	-0,000925219	41	0,705968	41	0,706981	
42	0,111583	42	0,608819	42	0,801027	
43	0,221903	43	0,506983	43	0,890386	
44	0,32941	44	0,401087	44	0,973809	
45	0,437855	45	0,293629	45	1,05098	
46	0,541612	46	0,184609	46	1,12253	
47	0,640682	47	0,0727774	47	1,18533	
48	0,738501	48	-0,0365551	48	1,24314	
49	0,832257	49	-0,147137	49	1,2925	
50	0,918513	50	-0,258344	50	1,3325	
51	0,999769	51	-0,365802	51	1,36655	
52	1,07477	52	-0,472323	52	1,38999	
53	1,14322	53	-0,575408	53	1,40686	
54	1,20416	54	-0,675681	54	1,4128	
55	1,26041	55	-0,769082	55	1,41311	
56	1,30635	56	-0,860921	56	1,4028	
57	1,34511	57	-0,945888	57	1,38374	
58	1,37511	58	-1,02554	58	1,35656	
59	1,39573	59	-1,10052	59	1,31969	
60	1,4098	60	-1,16487	60	1,27688	
61	1,4148	61	-1,22484	61	1,22564	
62	1,41105	62	-1,27545	62	1,16721	
63	1,39667	63	-1,32074	63	1,09879	
64	1,37511	64	-1,35542	64	1,02568	
65	1,34604	65	-1,38259	65	0,947564	
66	1,30573	66	-1,4029	66	0,860079	
67	1,26041	67	-1,41196	67	0,771032	
68	1,20603	68	-1,41352	68	0,675111	
69	1,14478	69	-1,40665	69	0,575753	
70	1,07509	70	-1,39071	70	0,471397	
71	0,999457	71	-1,36604	71	0,36579	
72	0,918201	72	-1,33292	72	0,257371	
73	0,831007	73	-1,292	73	0,14739	
74	0,740064	74	-1,24233	74	0,0377221	
75	0,641619	75	-1,18611	75	-0,0741334	
76	0,540987	76	-1,12176	76	-0,184427	
77	0,437543	77	-1,05053	77	-0,29347	
78	0,32941	78	-0,974314	78	-0,402201	
79	0,22034	79	-0,890597	79	-0,507183	
80	0,111583	80	-0,800945	80	-0,60904	
81	0,00126243	81	-0,706919	81	-0,706523	
82	-0,11062	82	-0,60852	82	-0,800882	
83	-0,220315	83	-0,506684	83	-0,889304	
84	-0,32876	84	-0,400788	84	-0,972414	
85	-0,43783	85	-0,295204	85	-1,05115	
86	-0,54065	86	-0,184622	86	-1,12145	
87	-0,640344	87	-0,0727909	87	-1,18456	
88	-0,738163	88	0,0365415	88	-1,24237	
89	-0,830982	89	0,147123	89	-1,29142	
90	-0,918176	90	0,258018	90	-1,33266	
91	-1,00068	91	0,365164	91	-1,36578	
92	-1,07631	92	0,470747	92	-1,39047	
93	-1,14319	93	0,575082	93	-1,40515	
94	-1,20538	94	0,675043	94	-1,41327	
95	-1,25976	95	0,769694	95	-1,41234	
96	-1,30601	96	0,86122	96	-1,40109	
97	-1,3457	97	0,944938	97	-1,38359	
98	-1,37477	98	1,02491	98	-1,35578	
99	-1,39633	99	1,09863	99	-1,31985	
100	-1,40977	100	1,16548	100	-1,27549	
101	-1,41477	101	1,2242	101	-1,22518	
102	-1,40977	102	1,27575	102	-1,16457	
103	-1,39665	103	1,32042	103	-1,09895	
104	-1,37602	104	1,35384	104	-1,02709	
105	-1,34508	105	1,38258	105	-0,946169	
106	-1,30633	106	1,40226	106	-0,860559	
107	-1,25976	107	1,41226	107	-0,769637	
108	-1,20507	108	1,41444	108	-0,674029	
109	-1,14319	109	1,40601	109	-0,575296	
110	-1,07631	110	1,38945	110	-0,471564	
111	-1,00006	111	1,36602	111	-0,365958	
112	-0,916613	112	1,33385	112	-0,256602	
113	-0,831607	113	1,29105	113	-0,147871	
114	-0,738476	114	1,24263	114	-0,03664	
115	-0,640969	115	1,18641	115	0,0749031	
116	-0,542212	116	1,12112	116	0,184259	
117	-0,43783	117	1,05052	117	0,293927	
118	-0,329385	118	0,973364	118	0,401721	
119	-0,220003	119	0,890272	119	0,50764	
120	-0,111558	120	0,800307	120	0,609185	
121	0,000324867	121	0,70753	121	0,707605	
122	0,111895	122	0,609443	122	0,801652	
123	0,220028	123	0,505734	123	0,888824	
124	0,330348	124	0,402024	124	0,974122	
125	0,43723	125	0,293629	125	1,05161	
126	0,541612	126	0,184921	126	1,1216	
127	0,642244	127	0,0746516	127	1,1869	
