Time - Plot 0	Amplitude - Plot 0	Time - Plot 1	Amplitude - Plot 1	Time - Plot 2	Amplitude - Plot 2	
25946	-1.3057	25946	0.184296	25946	1.12191	
25947	-1.26132	25947	0.0730897	25947	1.18533	
25948	-1.20476	25948	-0.0368674	25948	1.24376	
25949	-1.14413	25949	-0.148074	25949	1.29125	
25950	-1.07412	25950	-0.256782	25950	1.33343	
25951	-0.999744	25951	-0.365802	25951	1.36687	
25952	-0.918176	25952	-0.472323	25952	1.39061	
25953	-0.830982	25953	-0.575408	25953	1.40655	
25954	-0.739726	25954	-0.675681	25954	1.41248	
25955	-0.640344	25955	-0.769394	25955	1.41373	
25956	-0.54065	25956	-0.861546	25956	1.4028	
25957	-0.436268	25957	-0.945888	25957	1.38343	
25958	-0.330948	25958	-1.02648	25958	1.35624	
25959	-0.22094	25959	-1.09864	25959	1.32094	
25960	-0.108745	25960	-1.16424	25960	1.27813	
25961	-0.000925219	25961	-1.22547	25961	1.22408	
25962	0.110645	25962	-1.2767	25962	1.16565	
25963	0.22159	25963	-1.32074	25963	1.0991	
25964	0.331285	25964	-1.3551	25964	1.02692	
25965	0.436918	25965	-1.38322	25965	0.946314	
25966	0.5413	25966	-1.40196	25966	0.860704	
25967	0.642869	25967	-1.41196	25967	0.771344	
25968	0.738188	25968	-1.41446	25968	0.674174	
25969	0.830382	25969	-1.40633	25969	0.575441	
25970	0.916951	25970	-1.39165	25970	0.470772	
25971	1.00039	25971	-1.36541	25971	0.366727	
25972	1.07634	25972	-1.33292	25972	0.258621	
25973	1.14447	25973	-1.292	25973	0.148015	
25974	1.20666	25974	-1.24265	25974	0.0377221	
25975	1.25979	25975	-1.18548	25975	-0.073821	
25976	1.30698	25976	-1.12238	25976	-0.184114	
25977	1.34417	25977	-1.0521	25977	-0.294408	
25978	1.37511	25978	-0.97244	25978	-0.400951	
25979	1.39698	25979	-0.889972	25979	-0.506558	
25980	1.41074	25980	-0.800945	25980	-0.608103	
25981	1.41417	25981	-0.707544	25981	-0.707148	
25982	1.40949	25982	-0.608832	25982	-0.800882	
25983	1.39698	25983	-0.506372	25983	-0.888991	
25984	1.37323	25984	-0.402662	25984	-0.974289	
