Time - Plot 0	Amplitude - Plot 0	Time - Plot 1	Amplitude - Plot 1	Time - Plot 2	Amplitude - Plot 2	
24017	0,010013	24017	1,22171	24017	-1,22643	
24018	0,14596	24018	1,4007	24018	-0,859309	
24019	0,281282	24019	1,40944	24019	-0,376268	
24020	0,369413	24020	1,14111	24020	0,181447	
24021	0,391602	24021	0,722212	24021	0,700107	
24022	0,358787	24022	0,188982	24022	1,12097	
24023	0,278782	24023	-0,370175	24023	1,36218	
24024	0,143772	24024	-0,864045	24024	1,40405	
24025	0,00720034	24025	-1,23515	24025	1,22689	
24026	-0,137185	24026	-1,40446	24026	0,863203	
24027	-0,272506	24027	-1,35167	24027	0,358916	
24028	-0,358762	24028	-1,12051	24028	-0,185364	
24029	-0,393452	24029	-0,699109	24029	-0,710272	
24030	-0,353449	24030	-0,195556	24030	-1,12083	
24031	-0,272194	24031	0,355167	24031	-1,36391	
24032	-0,133122	24032	0,857784	24032	-1,40453	
24033	-0,00280035	24033	1,21733	24033	-1,22268	
24034	0,151898	24034	1,40039	24034	-0,856497	
24035	0,299408	24035	1,35603	24035	-0,365645	
24036	0,338161	24036	1,12799	24036	0,18051	
24037	0,408166	24037	0,730646	24037	0,709168	
24038	0,358787	24038	0,200852	24038	1,11472	
24039	0,273781	24039	-0,362366	24039	1,36562	
24040	0,14971	24040	-0,865919	24040	1,40061	
24041	-0,00217531	24041	-1,24296	24041	1,23783	
24042	-0,145935	24042	-1,41727	24042	0,86914	
24043	-0,278132	24043	-1,38009	24043	0,371414	
24044	-0,340636	24044	-1,10551	24044	-0,191613	
24045	-0,384389	24045	-0,730659	24045	-0,702774	
24046	-0,360325	24046	-0,19087	24046	-1,12395	
24047	-0,285007	24047	0,361727	24047	-1,36391	
24048	-0,143123	24048	0,847163	24048	-1,40171	
24049	0,00313756	24049	1,22171	24049	-1,22393	
24050	0,153148	24050	1,40288	24050	-0,859309	
24051	0,279719	24051	1,37602	24051	-0,369394	
24052	0,358787	24052	1,13768	24052	0,185821	
24053	0,390039	24053	0,699408	24053	0,703856	
24054	0,348161	24054	0,189607	24054	1,11785	
24055	0,289407	24055	-0,362366	24055	1,36468	
24056	0,151273	24056	-0,86342	24056	1,40405	
24057	-0,0143636	24057	-1,19985	24057	1,22252	
24058	-0,151561	24058	-1,40633	24058	0,85508	
24059	-0,269381	24059	-1,37135	24059	0,369852	
24060	-0,356887	24060	-1,12301	24060	-0,181927	
24061	-0,386889	24061	-0,672245	24061	-0,716209	
24062	-0,360325	24062	-0,177438	24062	-1,1227	
24063	-0,274069	24063	0,365788	24063	-1,36547	
24064	-0,155936	24064	0,844977	24064	-1,40015	
24065	0,0206388	24065	1,22139	24065	-1,22362	
24066	0,154398	24066	1,40851	24066	-0,861496	
24067	0,277531	24067	1,37446	24067	-0,36627	
24068	0,357224	24068	1,13455	24068	0,179572	
24069	0,396602	24069	0,722212	24069	0,704793	
24070	0,361287	24070	0,18211	24070	1,12597	
24071	0,273469	24071	-0,371737	24071	1,36812	
24072	0,146897	24072	-0,858735	24072	1,4003	
24073	0,00251252	24073	-1,21734	24073	1,22127	
24074	-0,164061	24074	-1,38603	24074	0,855705	
24075	-0,272506	24075	-1,36354	24075	0,365477	
24076	-0,372826	24076	-1,11176	24076	-0,185052	
24077	-0,409391	24077	-0,699109	24077	-0,704336	
24078	-0,360637	24078	-0,184622	24078	-1,12364	
24079	-0,274382	24079	0,350794	24079	-1,36078	
24080	-0,13656	24080	0,852474	24080	-1,40015	
24081	-0,00436296	24081	1,22983	24081	-1,22456	
24082	0,175649	24082	1,41257	24082	-0,864933	
24083	0,288782	24083	1,37133	24083	-0,370644	
24084	0,358787	24084	1,11393	24084	0,191445	
24085	0,395977	24085	0,704094	24085	0,69792	
24086	0,382539	24086	0,183672	24086	1,13659	
24087	0,273156	24087	-0,388293	24087	1,37218	
24088	0,135959	24088	-0,866544	24088	1,40873	
24089	-0,00655061	24089	-1,21266	24089	1,22408	
24090	-0,151248	24090	-1,41477	24090	0,869765	
24091	-0,263443	24091	-1,37947	24091	0,372976	
24092	-0,344386	24092	-1,09208	24092	-0,191301	
24093	-0,401578	24093	-0,69005	24093	-0,710272	
24094	-0,3672	24094	-0,188996	24094	-1,12489	
24095	-0,274069	24095	0,364539	24095	-1,36672	
24096	-0,149998	24096	0,85716	24096	-1,40109	
24097	0,00438765	24097	1,25044	24097	-1,23081	
24098	0,163149	24098	1,39445	24098	-0,859934	
24099	0,278157	24099	1,36384	24099	-0,361583	
24100	0,3591	24100	1,11706	24100	0,185509	
24101	0,379101	24101	0,715027	24101	0,703856	
24102	0,345036	24102	0,165554	24102	1,12035	
24103	0,286907	24103	-0,371737	24103	1,36905	
24104	0,138772	24104	-0,853736	24104	1,39624	
24105	0,00126243	24105	-1,21859	24105	1,22595	
24106	-0,13781	24106	-1,37791	24106	0,851643	
24107	-0,286257	24107	-1,34729	24107	0,359541	
24108	-0,357825	24108	-1,12332	24108	-0,189738	
24109	-0,387514	24109	-0,697547	24109	-0,709023	
24110	-0,351262	24110	-0,199929	24110	-1,12333	
24111	-0,273756	24111	0,371411	24111	-1,36641	
24112	-0,145935	24112	0,842165	24112	-1,39828	
24113	0,00157495	24113	1,24451	24113	-1,22737	
24114	0,137834	24114	1,39851	24114	-0,860871	
24115	0,276594	24115	1,36228	24115	-0,365333	
24116	0,36285	24116	1,10519	24116	0,186446	
24117	0,372851	24117	0,697847	24117	0,710105	
24118	0,361912	24118	0,203039	24118	1,11535	
24119	0,278782	24119	-0,375798	24119	1,36937	
24120	0,153148	24120	-0,874353	24120	1,40811	
24121	0,000637388	24121	-1,25202	24121	1,22876	
24122	-0,138435	24122	-1,41977	24122	0,871015	
24123	-0,276882	24123	-1,36854	24123	0,367352	
24124	-0,354387	24124	-1,12176	24124	-0,182864	
24125	-0,380014	24125	-0,707544	24125	-0,711522	
24126	-0,360325	24126	-0,172127	24126	-1,12176	
24127	-0,266568	24127	0,370786	24127	-1,36422	
24128	-0,137497	24128	0,851224	24128	-1,40265	
24129	-0,00530052	24129	1,21858	24129	-1,22143	
24130	0,147523	24130	1,39726	24130	-0,863058	
24131	0,254717	24131	1,36259	24131	-0,359396	
24132	0,356287	24132	1,10456	24132	0,188633	
24133	0,390664	24133	0,704406	24133	0,715417	
24134	0,357537	24134	0,20054	24134	1,12066	
24135	0,262218	24135	-0,346122	24135	1,36468	
24136	0,134397	24136	-0,844678	24136	1,39186	
24137	0,0181386	24137	-1,21641	24137	1,22345	
24138	-0,149998	24138	-1,41133	24138	0,865391	
24139	-0,271256	24139	-1,35823	24139	0,365165	
24140	-0,3647	24140	-1,12551	24140	-0,186926	
24141	-0,397827	24141	-0,693799	24141	-0,70996	
24142	-0,362825	24142	-0,186184	24142	-1,12176	
24143	-0,267506	24143	0,357666	24143	-1,36453	
24144	-0,151248	24144	0,886211	24144	-1,40609	
24145	0,0103256	24145	1,22139	24145	-1,22456	
24146	0,155023	24146	1,40601	24146	-0,863371	
24147	0,270343	24147	1,38633	24147	-0,365958	
24148	0,368475	24148	1,11643	24148	0,187383	
24149	0,390039	24149	0,712841	24149	0,707605	
24150	0,365975	24150	0,173988	24150	1,12222	
24151	0,286595	24151	-0,355493	24151	1,36562	
24152	0,155023	24152	-0,865919	24152	1,40155	
24153	-0,00186278	24153	-1,21703	24153	1,22345	
24154	-0,152811	24154	-1,40258	24154	0,862891	
24155	-0,272819	24155	-1,35979	24155	0,362978	
24156	-0,356887	24156	-1,11895	24156	-0,185989	
24157	-0,39564	24157	-0,699422	24157	-0,70871	
24158	-0,372201	24158	-0,202116	24158	-1,11583	
24159	-0,276257	24159	0,343922	24159	-1,35891	
24160	-0,148748	24160	0,865594	24160	-1,40421	
24161	-0,00811321	24161	1,23295	24161	-1,22768	
24162	0,166899	24162	1,37914	24162	-0,854622	
24163	0,280657	24163	1,35759	24163	-0,363458	
24164	0,36535	24164	1,11425	24164	0,186759	
24165	0,392539	24165	0,699096	24165	0,71198	
24166	0,363162	24166	0,183672	24166	1,12253	
24167	0,291282	24167	-0,369863	24167	1,37062	
24168	0,141272	24168	-0,867481	24168	1,40561	
24169	0,00126243	24169	-1,22609	24169	1,22595	
24170	-0,125621	24170	-1,41446	24170	0,86664	
24171	-0,280944	24171	-1,36198	24171	0,361728	
24172	-0,345011	24172	-1,12675	24172	-0,18099	
24173	-0,387514	24173	-0,706919	24173	-0,705273	
24174	-0,356575	24174	-0,19087	24174	-1,12114	
24175	-0,280632	24175	0,361415	24175	-1,36047	
24176	-0,145623	24176	0,859971	24176	-1,40203	
24177	0,0118882	24177	1,21952	24177	-1,22768	
24178	0,158148	24178	1,40882	24178	-0,860871	
24179	0,277219	24179	1,36353	24179	-0,359396	
24180	0,356287	24180	1,14736	24180	0,178947	
24181	0,380351	24181	0,716902	24181	0,706668	
24182	0,360975	24182	0,186171	24182	1,12035	
24183	0,278157	24183	-0,357055	24183	1,36468	
24184	0,166586	24184	-0,853736	24184	1,39905	
24185	0,00407513	24185	-1,21703	24185	1,21908	
24186	-0,146873	24186	-1,3979	24186	0,860391	
24187	-0,288758	24187	-1,35385	24187	0,364228	
24188	-0,373138	24188	-1,12113	24188	-0,180365	
24189	-0,382201	24189	-0,732846	24189	-0,699649	
24190	-0,362513	24190	-0,192744	24190	-1,11989	
24191	-0,28907	24191	0,354543	24191	-1,36266	
24192	-0,140622	24192	0,839666	24192	-1,39984	
24193	0,00626278	24193	1,24357	24193	-1,23018	
24194	0,14221	24194	1,41194	24194	-0,865245	
24195	0,259718	24195	1,35759	24195	-0,361583	
24196	0,368163	24196	1,12737	24196	0,186134	
24197	0,39629	24197	0,68379	24197	0,714167	
24198	0,370975	24198	0,216784	24198	1,11503	
24199	0,269718	24199	-0,378297	24199	1,37561	
24200	0,14471	24200	-0,860609	24200	1,40092	
24201	0,000324867	24201	-1,22953	24201	1,23408	
24202	-0,137497	24202	-1,38166	24202	0,859766	
24203	-0,268756	24203	-1,39196	24203	0,373913	
24204	-0,36595	24204	-1,14112	24204	-0,182552	
24205	-0,391265	24205	-0,701296	24205	-0,70746	
24206	-0,35845	24206	-0,195243	24206	-1,12083	
24207	-0,273131	24207	0,347046	24207	-1,3611	
24208	-0,149998	24208	0,869967	24208	-1,40359	
24209	-0,00842574	24209	1,2242	24209	-1,22393	
24210	0,148773	24210	1,40882	24210	-0,862433	
24211	0,276594	24211	1,37571	24211	-0,366895	
24212	0,3666	24212	1,12955	24212	0,176135	
24213	0,405978	24213	0,701283	24213	0,704169	
24214	0,362537	24214	0,189607	24214	1,12316	
24215	0,275031	24215	-0,382358	24215	1,3678	
24216	0,136584	24216	-0,853112	24216	1,40217	
24217	0,0022	24217	-1,22921	24217	1,23001	
