Time - Plot 0	Amplitude - Plot 0	Time - Plot 1	Amplitude - Plot 1	Time - Plot 2	Amplitude - Plot 2	
23951	0,555988	23951	-0,371737	23951	1,36749	
23952	0,51036	23952	-0,462951	23952	1,38874	
23953	0,445356	23953	-0,579468	23953	1,40061	
23954	0,397852	23954	-0,676306	23954	1,41842	
23955	0,347224	23955	-0,770332	23955	1,41748	
23956	0,286907	23956	-0,852487	23956	1,40155	
23957	0,226903	23957	-0,953073	23957	1,3828	
23958	0,1844	23958	-1,02242	23958	1,35437	
23959	0,103457	23959	-1,07834	23959	1,31594	
23960	0,0740799	23960	-1,15018	23960	1,27219	
23961	-0,0143636	23961	-1,19423	23961	1,21845	
23962	-0,0790556	23962	-1,26982	23962	1,16503	
23963	-0,135309	23963	-1,32355	23963	1,09785	
23964	-0,189376	23964	-1,33417	23964	1,0213	
23965	-0,247192	23965	-1,37916	23965	0,949438	
23966	-0,312822	23966	-1,40352	23966	0,862578	
23967	-0,3672	23967	-1,39134	23967	0,765408	
23968	-0,411578	23968	-1,42695	23968	0,672299	
23969	-0,462832	23969	-1,42008	23969	0,578878	
23970	-0,512835	23970	-1,37978	23970	0,470772	
23971	-0,547213	23971	-1,37978	23971	0,362665	
23972	-0,585965	23972	-1,31043	23972	0,248935	
23973	-0,635656	23973	-1,28263	23973	0,146453	
23974	-0,663471	23974	-1,23796	23974	0,03491	
23975	-0,703786	23975	-1,17392	23975	-0,0778828	
23976	-0,706911	23976	-1,12551	23976	-0,184114	
23977	-0,742226	23977	-1,04241	23977	-0,295032	
23978	-0,763478	23978	-0,95932	23978	-0,399077	
23979	-0,772541	23979	-0,893408	23979	-0,505308	
23980	-0,774416	23980	-0,782514	23980	-0,615289	
23981	-0,774416	23981	-0,687551	23981	-0,709023	
23982	-0,785042	23982	-0,627262	23982	-0,795882	
23983	-0,763165	23983	-0,507934	23983	-0,891803	
23984	-0,751289	23984	-0,386731	23984	-0,974289	
23985	-0,730663	23985	-0,287707	23985	-1,05115	
23986	-0,705974	23986	-0,183998	23986	-1,11926	
23987	-0,701286	23987	-0,0449893	23987	-1,18988	
23988	-0,655033	23988	0,0318558	23988	-1,24018	
23989	-0,62253	23989	0,141188	23989	-1,28923	
23990	-0,602217	23990	0,252083	23990	-1,32798	
23991	-0,541587	23991	0,314871	23991	-1,35328	
23992	-0,483771	23992	0,466999	23992	-1,38953	
23993	-0,463144	23993	0,577581	23993	-1,4039	
23994	-0,393452	23994	0,666921	23994	-1,41046	
23995	-0,337198	23995	0,746578	23995	-1,40734	
23996	-0,293758	23996	0,8506	23996	-1,39765	
23997	-0,235629	23997	0,943376	23997	-1,37859	
23998	-0,163124	23998	1,03646	23998	-1,35891	
23999	-0,120621	23999	1,09394	23999	-1,31892	
24000	-0,0253019	24000	1,17579	24000	-1,27705	
24001	0,0134508	24001	1,25107	24001	-1,23456	
24002	0,0700172	24002	1,27356	24002	-1,16519	
24003	0,136584	24003	1,3023	24003	-1,09271	
24004	0,182525	24004	1,36353	24004	-1,02865	
24005	0,244092	24005	1,37508	24005	-0,945544	
24006	0,300033	24006	1,40476	24006	-0,861496	
24007	0,354412	24007	1,41226	24007	-0,768075	
24008	0,415666	24008	1,42819	24008	-0,677153	
24009	0,462544	24009	1,43131	24009	-0,580608	
24010	0,520673	24010	1,37665	24010	-0,467502	
24011	0,554426	24011	1,3704	24011	-0,370019	
24012	0,600991	24012	1,3301	24012	-0,257539	
24013	0,631931	24013	1,27887	24013	-0,143809	
24014	0,672559	24014	1,24795	24014	-0,0378898	
24015	0,701311	24015	1,17891	24015	0,0774026	
24016	0,714124	24016	1,12237	24016	0,182072	
24017	0,751627	24017	1,03022	24017	0,292365	
24018	0,770066	24018	0,960557	24018	0,408283	
24019	0,773503	24019	0,886523	24019	0,50639	
24020	0,779754	24020	0,824985	24020	0,605436	
24021	0,767253	24021	0,722837	24021	0,702919	
24022	0,767878	24022	0,567897	24022	0,814462	
24023	0,763815	24023	0,499486	24023	0,886637	
24024	0,732251	24024	0,38172	24024	0,976309	
24025	0,738813	24025	0,264265	24025	1,06161	
24026	0,720062	24026	0,170239	24026	1,13066	
24027	0,706311	24027	0,058408	24027	1,19002	
24028	0,650682	24028	-0,063732	24028	1,24845	
24029	0,624431	24029	-0,130269	24029	1,28501	
24030	0,594741	24030	-0,282709	24030	1,33875	
24031	0,527549	24031	-0,343311	24031	1,36812	
24032	0,497859	24032	-0,44702	24032	1,38874	
24033	0,442855	24033	-0,566661	24033	1,40061	
24034	0,377851	24034	-0,706294	24034	1,41904	
24035	0,350662	24035	-0,771581	24035	1,4103	
24036	0,295345	24036	-0,88435	24036	1,40811	
24037	0,241904	24037	-0,940578	24037	1,38218	
24038	0,180962	24038	-1,03648	24038	1,36062	
24039	0,104395	24039	-1,09489	24039	1,31969	
24040	0,052516	24040	-1,17486	24040	1,27469	
24041	-0,0196765	24041	-1,23453	24041	1,23001	
24042	-0,0678048	24042	-1,27264	24042	1,15628	
24043	-0,147185	24043	-1,34417	24043	1,10066	
24044	-0,195939	24044	-1,34042	24044	1,0213	
24045	-0,260318	24045	-1,38259	24045	0,942565	
24046	-0,311259	24046	-1,4182	24046	0,863828	
24047	-0,36345	24047	-1,42789	24047	0,776968	
24048	-0,426267	24048	-1,43538	24048	0,676986	
24049	-0,460957	24049	-1,41977	24049	0,575441	
24050	-0,521273	24050	-1,39165	24050	0,470459	
24051	-0,557526	24051	-1,37385	24051	0,364228	
24052	-0,600654	24052	-1,3298	24052	0,257684	
24053	-0,629718	24053	-1,287	24053	0,148953	
24054	-0,665346	24054	-1,25264	24054	0,0383469	
24055	-0,704098	24055	-1,18267	24055	-0,0728837	
24056	-0,725975	24056	-1,11801	24056	-0,183802	
24057	-0,750352	24057	-1,05147	24057	-0,29222	
24058	-0,765665	24058	-0,983998	24058	-0,405013	
24059	-0,76504	24059	-0,879039	24059	-0,512494	
24060	-0,765978	24060	-0,804381	24060	-0,608415	
24061	-0,781604	24061	-0,704732	24061	-0,70746	
24062	-0,767228	24062	-0,612893	24062	-0,802131	
24063	-0,767228	24063	-0,490753	24063	-0,890241	
24064	-0,759727	24064	-0,400163	24064	-0,974289	
24065	-0,741601	24065	-0,293018	24065	-1,05115	
24066	-0,708474	24066	-0,202428	24066	-1,11801	
24067	-0,69066	24067	-0,07529	24067	-1,18238	
24068	-0,660658	24068	0,0568461	24068	-1,24424	
24069	-0,616905	24069	0,145562	24069	-1,29142	
24070	-0,571902	24070	0,243648	24070	-1,3336	
24071	-0,529086	24071	0,38703	24071	-1,36953	
24072	-0,497209	24072	0,494488	24072	-1,39359	
24073	-0,448143	24073	0,543844	24073	-1,39984	
24074	-0,40189	24074	0,685351	24074	-1,41265	
24075	-0,3622	24075	0,792185	24075	-1,41577	
24076	-0,290008	24076	0,860283	24076	-1,39859	
24077	-0,237191	24077	0,946812	24077	-1,37797	
24078	-0,167812	24078	1,01678	24078	-1,35016	
24079	-0,104682	24079	1,10269	24079	-1,31923	
24080	-0,0462408	24080	1,16798	24080	-1,27705	
24081	0,017201	24081	1,17891	24081	-1,21862	
24082	0,0840806	24082	1,29761	24082	-1,16988	
24083	0,140335	24083	1,33916	24083	-1,10302	
24084	0,194088	24084	1,37508	24084	-1,02865	
24085	0,231278	24085	1,35759	24085	-0,940857	
24086	0,314722	24086	1,41007	24086	-0,863683	
24087	0,366913	24087	1,39445	24087	-0,767762	
24088	0,412228	24088	1,41944	24088	-0,671217	
24089	0,487859	24089	1,42413	24089	-0,586232	
24090	0,521923	24090	1,40257	24090	-0,474689	
24091	0,548175	24091	1,35197	24091	-0,361896	
24092	0,609742	24092	1,32198	24092	-0,252227	
24093	0,632556	24093	1,29761	24093	-0,153182	
24094	0,656933	24094	1,24857	24094	-0,0388271	
24095	0,694435	24095	1,1939	24095	0,0739657	
24096	0,724125	24096	1,1433	24096	0,180822	
24097	0,750377	24097	1,03397	24097	0,304238	
24098	0,759127	24098	0,965867	24098	0,399846	
24099	0,769441	24099	0,894333	24099	0,504516	
24100	0,772566	24100	0,817175	24100	0,602624	
24101	0,778191	24101	0,728147	24101	0,699794	
24102	0,76569	24102	0,592887	24102	0,801652	
24103	0,776941	24103	0,521977	24103	0,891324	
24104	0,759752	24104	0,386718	24104	0,974747	
24105	0,726313	24105	0,278635	24105	1,05536	
24106	0,714437	24106	0,204601	24106	1,11628	
24107	0,687247	24107	0,0915201	24107	1,1819	
24108	0,658495	24108	-0,0337436	24108	1,24314	
24109	0,627556	24109	-0,129644	24109	1,2875	
24110	0,616617	24110	-0,276149	24110	1,33781	
24111	0,552863	24111	-0,359867	24111	1,36937	
24112	0,496922	24112	-0,455767	24112	1,38436	
24113	0,459107	24113	-0,585404	24113	1,4153	
24114	0,411291	24114	-0,664435	24114	1,41373	
24115	0,326285	24115	-0,766895	24115	1,40998	
24116	0,295345	24116	-0,855923	24116	1,40561	
24117	0,22284	24117	-0,936829	24117	1,37468	
24118	0,180962	24118	-1,00555	24118	1,34624	
24119	0,124708	24119	-1,09864	24119	1,32469	
24120	0,0550161	24120	-1,15081	24120	1,26657	
24121	-0,0109259	24121	-1,21859	24121	1,22314	
24122	-0,0656172	24122	-1,2692	24122	1,16784	
24123	-0,146248	24123	-1,33261	24123	1,09129	
24124	-0,185938	24124	-1,34729	24124	1,02286	
24125	-0,251255	24125	-1,3751	24125	0,945377	
24126	-0,313134	24126	-1,41102	24126	0,863516	
24127	-0,350012	24127	-1,40102	24127	0,761971	
24128	-0,423142	24128	-1,42039	24128	0,672299	
24129	-0,460957	24129	-1,41477	24129	0,57794	
24130	-0,516898	24130	-1,37884	24130	0,467022	
24131	-0,557213	24131	-1,34136	24131	0,357041	
24132	-0,597216	24132	-1,32793	24132	0,257059	
24133	-0,626593	24133	-1,30512	24133	0,149265	
24134	-0,673471	24134	-1,22172	24134	0,0370972	
24135	-0,700348	24135	-1,20235	24135	-0,0666348	
24136	-0,72535	24136	-1,10801	24136	-0,188176	
24137	-0,749102	24137	-1,04397	24137	-0,29722	
24138	-0,760352	24138	-1,0018	24138	-0,399077	
24139	-0,765353	24139	-0,896532	24139	-0,505621	
24140	-0,777228	24140	-0,80688	24140	-0,60779	
24141	-0,786292	24141	-0,698797	24141	-0,71121	
24142	-0,781291	24142	-0,61383	24142	-0,79807	
24143	-0,774416	24143	-0,499812	24143	-0,89524	
24144	-0,755039	24144	-0,386731	24144	-0,974289	
24145	-0,734413	24145	-0,29864	24145	-1,05178	
24146	-0,718474	24146	-0,200241	24146	-1,11583	
24147	-0,681597	24147	-0,0727909	24147	-1,18675	
24148	-0,667221	24148	0,0615317	24148	-1,24612	
24149	-0,62128	24149	0,143375	24149	-1,29236	
24150	-0,583465	24150	0,242711	24150	-1,32704	
24151	-0,535337	24151	0,376097	24151	-1,37203	
24152	-0,494084	24152	0,475433	24152	-1,39484	
24153	-0,459394	24153	0,571646	24153	-1,40234	
24154	-0,403453	24154	0,679416	24154	-1,41327	
24155	-0,338136	24155	0,759073	24155	-1,40859	
24156	-0,299383	24156	0,862158	24156	-1,40453	
24157	-0,223441	24157	0,944313	24157	-1,38234	
24158	-0,163749	24158	1,02053	24158	-1,35516	
24159	-0,11062	24159	1,1055	24159	-1,32142	
24160	-0,0328024	24160	1,15611	24160	-1,27549	
24161	0,00563773	24161	1,23732	24161	-1,22799	
24162	0,0787678	24162	1,27637	24162	-1,16394	
24163	0,135334	24163	1,32417	24163	-1,09708	
24164	0,192838	24164	1,35665	24164	-1,02615	
24165	0,256905	24165	1,38164	24165	-0,944294	
24166	0,315659	24166	1,39695	24166	-0,860871	
24167	0,36285	24167	1,39695	24167	-0,769325	
24168	0,410666	24168	1,42663	24168	-0,676528	
24169	0,46567	24169	1,431	24169	-0,57842	
24170	0,516298	24170	1,37009	24170	-0,470627	
24171	0,550363	24171	1,3704	24171	-0,36502	
24172	0,600679	24172	1,33697	24172	-0,259101	
24173	0,642869	24173	1,2998	24173	-0,148808	
24174	0,667871	24174	1,23545	24174	-0,028204	
24175	0,690685	24175	1,17766	24175	0,0774026	
24176	0,720062	24176	1,12518	24176	0,184259	
24177	0,745689	24177	1,03896	24177	0,299864	
24178	0,752564	24178	0,963368	24178	0,399846	
24179	0,774441	24179	0,902767	24179	0,506078	
24180	0,785379	24180	0,806242	24180	0,606998	
24181	0,773816	24181	0,709717	24181	0,709793	
24182	0,785067	24182	0,597261	24182	0,802589	
24183	0,775691	24183	0,513856	24183	0,887887	
24184	0,76319	24184	0,427639	24184	0,96756	
24185	0,739126	24185	0,308311	24185	1,04692	
24186	0,730688	24186	0,1743	24186	1,11566	
24187	0,691623	24187	0,107139	24187	1,18127	
24188	0,651307	24188	0,00436651	24188	1,23658	
24189	0,626931	24189	-0,147449	24189	1,28938	
24190	0,580365	24190	-0,27365	24190	1,33562	
24191	0,554113	24191	-0,379859	24191	1,37311	
24192	0,489109	24192	-0,484818	24192	1,39061	
24193	0,456606	24193	-0,590089	24193	1,41123	
24194	0,402228	24194	-0,6585	24194	1,41904	
24195	0,345036	24195	-0,750652	24195	1,41248	
24196	0,301596	24196	-0,862795	24196	1,39655	
24197	0,229091	24197	-0,982436	24197	1,38749	
24198	0,1769	24198	-1,03866	24198	1,35905	
24199	0,10877	24199	-1,08802	24199	1,32719	
24200	0,0618916	24200	-1,16643	24200	1,27813	
24201	-0,0203016	24201	-1,22547	24201	1,23001	
24202	-0,0815558	24202	-1,25421	24202	1,16034	
24203	-0,134059	24203	-1,33542	24203	1,10316	
24204	-0,200001	24204	-1,35417	24204	1,02817	
24205	-0,252505	24205	-1,38009	24205	0,946626	
24206	-0,305009	24206	-1,39134	24206	0,857267	
24207	-0,361262	24207	-1,42289	24207	0,771344	
24208	-0,418454	24208	-1,41289	24208	0,673861	
24209	-0,467832	24209	-1,40696	24209	0,576378	
24210	-0,504397	24210	-1,37135	24210	0,46796	
24211	-0,55065	24211	-1,35698	24211	0,361728	
24212	-0,596904	24212	-1,32918	24212	0,257996	
24213	-0,631281	24213	-1,29888	24213	0,151765	
24214	-0,663783	24214	-1,24109	24214	0,0386594	
24215	-0,693785	24215	-1,19548	24215	-0,0722588	
24216	-0,731913	24216	-1,1152	24216	-0,182552	
24217	-0,748789	24217	-1,05897	24217	-0,292533	
24218	-0,765978	24218	-0,962132	24218	-0,405013	
24219	-0,765978	24219	-0,890597	24219	-0,50687	
24220	-0,785667	24220	-0,817501	24220	-0,607478	
24221	-0,783166	24221	-0,710667	24221	-0,705586	
24222	-0,767853	24222	-0,622264	24222	-0,800569	
