Time - Plot 0	Amplitude - Plot 0	Time - Plot 1	Amplitude - Plot 1	Time - Plot 2	Amplitude - Plot 2	
23951	0,552238	23951	-0,366114	23951	1,3678	
23952	0,496922	23952	-0,467012	23952	1,38624	
23953	0,436292	23953	-0,567598	23953	1,40248	
23954	0,394415	23954	-0,679429	23954	1,40873	
23955	0,337536	23955	-0,760335	23955	1,40561	
23956	0,29597	23956	-0,878102	23956	1,41342	
23957	0,240654	23957	-0,952448	23957	1,38499	
23958	0,168774	23958	-0,997743	23958	1,35249	
23959	0,113145	23959	-1,1052	23959	1,32562	
23960	0,0628292	23960	-1,15799	23960	1,28282	
23961	-0,00873826	23961	-1,27076	23961	1,24407	
23962	-0,0718676	23962	-1,29794	23962	1,1694	
23963	-0,126871	23963	-1,32699	23963	1,09754	
23964	-0,185938	23964	-1,34386	23964	1,02036	
23965	-0,240317	23965	-1,33855	23965	0,93819	
23966	-0,296883	23966	-1,40415	23966	0,865078	
23967	-0,373138	23967	-1,41789	23967	0,773844	
23968	-0,39814	23968	-1,40758	23968	0,671049	
23969	-0,479708	23969	-1,40321	23969	0,572629	
23970	-0,520961	23970	-1,37572	23970	0,468897	
23971	-0,556901	23971	-1,36416	23971	0,36329	
23972	-0,604717	23972	-1,32511	23972	0,256434	
23973	-0,635969	23973	-1,27607	23973	0,140517	
23974	-0,667221	23974	-1,23234	23974	0,0314731	
23975	-0,703786	23975	-1,17549	23975	-0,0772579	
23976	-0,712537	23976	-1,14019	23976	-0,178178	
23977	-0,748789	23977	-1,04616	23977	-0,295657	
23978	-0,756602	23978	-0,966505	23978	-0,401576	
23979	-0,76504	23979	-0,919648	23979	-0,499997	
23980	-0,777854	23980	-0,800007	23980	-0,60779	
23981	-0,770978	23981	-0,721913	23981	-0,700587	
23982	-0,79473	23982	-0,595087	23982	-0,801819	
23983	-0,771603	23983	-0,507934	23983	-0,890866	
23984	-0,755977	23984	-0,395165	23984	-0,977101	
23985	-0,735976	23985	-0,275212	23985	-1,0524	
23986	-0,716912	23986	-0,198367	23986	-1,1202	
23987	-0,702848	23987	-0,0684176	23987	-1,18581	
23988	-0,65722	23988	0,0418519	23988	-1,24237	
23989	-0,630343	23989	0,137127	23989	-1,28986	
23990	-0,594716	23990	0,254269	23990	-1,33048	
23991	-0,543775	23991	0,38172	23991	-1,37016	
23992	-0,498772	23992	0,461064	23992	-1,38734	
23993	-0,449081	23993	0,571021	23993	-1,40265	
23994	-0,39689	23994	0,649115	23994	-1,40421	
23995	-0,347512	23995	0,798432	23995	-1,41734	
23996	-0,290633	23996	0,869655	23996	-1,40515	
23997	-0,224378	23997	0,943688	23997	-1,38359	
23998	-0,168749	23998	1,01397	23998	-1,35079	
23999	-0,11187	23999	1,10363	23999	-1,32329	
24000	-0,03374	24000	1,17048	24000	-1,27611	
24001	0,0206388	24001	1,22983	24001	-1,22175	
24002	0,0665794	24002	1,27137	24002	-1,16082	
24003	0,124083	24003	1,32167	24003	-1,09614	
24004	0,191901	24004	1,36727	24004	-1,02647	
24005	0,252842	24005	1,39695	24005	-0,950543	
24006	0,321285	24006	1,41944	24006	-0,866183	
24007	0,357537	24007	1,42756	24007	-0,771199	
24008	0,410666	24008	1,4385	24008	-0,675903	
24009	0,468482	24009	1,416	24009	-0,575608	
24010	0,527236	24010	1,42538	24010	-0,477188	
24011	0,547863	24011	1,35853	24011	-0,366582	
24012	0,597241	24012	1,33729	24012	-0,259101	
24013	0,635994	24013	1,30105	24013	-0,147246	
24014	0,658808	24014	1,2267	24014	-0,0400769	
24015	0,701623	24015	1,17672	24015	0,0792773	
24016	0,736938	24016	1,15486	24016	0,178947	
24017	0,750689	24017	1,0727	24017	0,285804	
24018	0,756315	24018	0,968366	24018	0,394847	
24019	0,775066	24019	0,865281	24019	0,51139	
24020	0,779754	24020	0,783438	24020	0,613247	
24021	0,781004	24021	0,716902	24021	0,704481	
24022	0,787567	24022	0,619752	24022	0,799152	
24023	0,770378	24023	0,536347	24023	0,8832	
24024	0,756315	24024	0,39234	24024	0,972559	
24025	0,743814	24025	0,261142	24025	1,06036	
24026	0,72225	24026	0,182735	24026	1,12566	
24027	0,68881	24027	0,0818363	24027	1,1869	
24028	0,657558	24028	-0,0381169	24028	1,24033	
24029	0,626931	24029	-0,160882	24029	1,29907	
24030	0,582865	24030	-0,224607	24030	1,32156	
24031	0,544737	24031	-0,37736	24031	1,36468	
24032	0,494421	24032	-0,458266	24032	1,38905	
24033	0,460357	24033	-0,566349	24033	1,40405	
24034	0,391914	24034	-0,677243	24034	1,41873	
24035	0,360037	24035	-0,737219	24035	1,40342	
24036	0,292533	24036	-0,85686	24036	1,40467	
24037	0,236904	24037	-0,943701	24037	1,3778	
24038	0,174399	24038	-1,02242	24038	1,35749	
24039	0,11752	24039	-1,11176	24039	1,32281	
24040	0,0556412	24040	-1,1608	24040	1,27907	
24041	0,0156384	24041	-1,22453	24041	1,23126	
24042	-0,0568666	24042	-1,2995	24042	1,17502	
24043	-0,122496	24043	-1,31668	24043	1,09848	
24044	-0,190313	24044	-1,35667	24044	1,02568	
24045	-0,25188	24045	-1,36385	24045	0,948501	
24046	-0,313447	24046	-1,39759	24046	0,861954	
24047	-0,3672	24047	-1,41446	24047	0,766033	
24048	-0,406266	24048	-1,39727	24048	0,669175	
24049	-0,457832	24049	-1,39353	24049	0,572629	
24050	-0,511585	24050	-1,37416	24050	0,461398	
24051	-0,545338	24051	-1,37103	24051	0,369227	
24052	-0,600654	24052	-1,31293	24052	0,257059	
24053	-0,622843	24053	-1,30106	24053	0,145203	
24054	-0,680034	24054	-1,26764	24054	0,0449083	
24055	-0,694723	24055	-1,1708	24055	-0,0838193	
24056	-0,715349	24056	-1,12988	24056	-0,183802	
24057	-0,73285	24057	-1,03866	24057	-0,29347	
24058	-0,762852	24058	-0,99868	24058	-0,395952	
24059	-0,773791	24059	-0,90809	24059	-0,497497	
24060	-0,774416	24060	-0,78189	24060	-0,617789	
24061	-0,769728	24061	-0,705044	24061	-0,707773	
24062	-0,785979	24062	-0,614767	24062	-0,798694	
24063	-0,764415	24063	-0,512932	24063	-0,888991	
24064	-0,767228	24064	-0,4036	24064	-0,970852	
24065	-0,740976	24065	-0,309574	24065	-1,04865	
24066	-0,704098	24066	-0,201491	24066	-1,1202	
24067	-0,695035	24067	-0,0740404	24067	-1,18613	
24068	-0,65472	24068	0,0218597	24068	-1,23612	
24069	-0,627843	24069	0,158681	24069	-1,28955	
24070	-0,596904	24070	0,267389	24070	-1,33235	
24071	-0,54065	24071	0,353293	24071	-1,36516	
24072	-0,498147	24072	0,467624	24072	-1,39078	
24073	-0,446268	24073	0,589764	24073	-1,41171	
24074	-0,386577	24074	0,684102	24074	-1,41702	
24075	-0,338761	24075	0,767195	24075	-1,40984	
24076	-0,28407	24076	0,843727	24076	-1,39984	
24077	-0,234379	24077	0,930256	24077	-1,38016	
24078	-0,183438	24078	1,03303	24078	-1,35578	
24079	-0,120933	24079	1,08363	24079	-1,31579	
24080	-0,0484285	24080	1,17329	24080	-1,27705	
24081	-0,00717565	24081	1,2367	24081	-1,22862	
24082	0,0731424	24082	1,28324	24082	-1,168	
24083	0,139397	24083	1,31792	24083	-1,09802	
24084	0,212214	24084	1,3932	24084	-1,0324	
24085	0,255655	24085	1,39789	24085	-0,95023	
24086	0,310346	24086	1,38602	24086	-0,856184	
24087	0,368475	24087	1,40944	24087	-0,770574	
24088	0,415354	24088	1,43756	24088	-0,676528	
24089	0,463794	24089	1,36196	24089	-0,567172	
24090	0,515673	24090	1,39258	24090	-0,474376	
24091	0,555051	24091	1,36165	24091	-0,364083	
24092	0,592553	24092	1,29574	24092	-0,249728	
24093	0,626306	24093	1,28012	24093	-0,145371	
24094	0,661621	24094	1,25013	24094	-0,03664	
