Time - Plot 0	Amplitude - Plot 0	Time - Plot 1	Amplitude - Plot 1	Time - Plot 2	Amplitude - Plot 2	
0	-0,000612698	0	-6,7895E-6	0	0,000228591	
1	1,41542	1	-0,705982	1	-0,705898	
2	1,40917	2	-0,609769	2	-0,801194	
3	1,39667	3	-0,506997	3	-0,889928	
4	1,37605	4	-0,400476	4	-0,972102	
5	1,34354	5	-0,295204	5	-1,05115	
6	1,30667	6	-0,18431	6	-1,12176	
7	1,25947	7	-0,0740404	7	-1,18613	
8	1,20541	8	0,0374786	8	-1,24205	
9	1,14384	9	0,147436	9	-1,29173	
10	1,07602	10	0,258018	10	-1,33235	
11	0,999457	11	0,366101	11	-1,36641	
12	0,917888	12	0,47106	12	-1,39109	
13	0,832883	13	0,576331	13	-1,40453	
14	0,738813	14	0,674731	14	-1,41359	
15	0,642244	15	0,770318	15	-1,41171	
16	0,541925	16	0,86122	16	-1,40171	
17	0,436918	17	0,946187	17	-1,38265	
18	0,329723	18	1,02522	18	-1,3561	
19	0,220653	19	1,09925	19	-1,32017	
20	0,111895	20	1,16516	20	-1,27486	
21	0,000324867	21	1,22514	21	-1,22393	
22	-0,11062	22	1,27637	22	-1,16519	
23	-0,220628	23	1,32135	23	-1,09802	
24	-0,330948	24	1,35509	24	-1,02647	
25	-0,437205	25	1,38352	25	-0,945856	
26	-0,54065	26	1,40101	26	-0,860559	
27	-0,642219	27	1,41132	27	-0,770262	
28	-0,739101	28	1,41382	28	-0,674341	
29	-0,83067	29	1,4057	29	-0,574984	
30	-0,919426	30	1,38976	30	-0,471564	
31	-1,00068	31	1,36571	31	-0,365958	
32	-1,07412	32	1,33354	32	-0,256602	
33	-1,14444	33	1,29074	33	-0,147871	
34	-1,2057	34	1,24295	34	-0,0369524	
35	-1,25851	35	1,18609	35	0,0749031	
36	-1,30695	36	1,12049	36	0,184259	
37	-1,34539	37	1,05052	37	0,29424	
38	-1,37508	38	0,973677	38	0,402034	
39	-1,39571	39	0,890584	39	0,506703	
40	-1,41008	40	0,800619	40	0,608873	
41	-1,41321	41	0,706906	41	0,707605	
42	-1,4104	42	0,608819	42	0,801027	
43	-1,39821	43	0,505421	43	0,888199	
44	-1,37352	44	0,403274	44	0,975371	
45	-1,34508	45	0,293941	45	1,05098	
46	-1,3057	46	0,183359	46	1,12128	
47	-1,25914	47	0,074964	47	1,18721	
48	-1,20632	48	-0,0378046	48	1,2422	
49	-1,14382	49	-0,147449	49	1,2925	
50	-1,07569	50	-0,257719	50	1,33343	
51	-0,998806	51	-0,365489	51	1,36655	
52	-0,919113	52	-0,472635	52	1,39092	
53	-0,83067	53	-0,57572	53	1,40623	
54	-0,738163	54	-0,674431	54	1,41498	
55	-0,643157	55	-0,770956	55	1,41123	
56	-0,540962	56	-0,860296	56	1,40311	
57	-0,437205	57	-0,9462	57	1,38311	
58	-0,32876	58	-1,02523	58	1,35593	
59	-0,22094	59	-1,09864	59	1,32062	
60	-0,110933	60	-1,16518	60	1,27657	
61	-0,000300176	61	-1,22484	61	1,22502	
62	0,110645	62	-1,27576	62	1,16565	
63	0,221903	63	-1,32012	63	1,09941	
64	0,329723	64	-1,35635	64	1,02599	
65	0,436605	65	-1,38322	65	0,946314	
66	0,541925	66	-1,40165	66	0,861329	
67	0,640994	67	-1,41383	67	0,768845	
68	0,739126	68	-1,41321	68	0,675111	
69	0,83132	69	-1,40696	69	0,575441	
70	0,919139	70	-1,39009	70	0,472646	
71	1,00071	71	-1,36572	71	0,366415	
72	1,0754	72	-1,33261	72	0,257684	
