Time - Plot 0	Amplitude - Plot 0	Time - Plot 1	Amplitude - Plot 1	Time - Plot 2	Amplitude - Plot 2	
0	-0,000612698	0	-0,0012563	0	-0,00102119	
1	0,000637388	1	-0,706919	1	-0,706523	
2	-0,11062	2	-0,609144	2	-0,800257	
3	-0,220315	3	-0,506372	3	-0,889304	
4	-0,33126	4	-0,40235	4	-0,973976	
5	-0,437518	5	-0,293955	5	-1,05021	
6	-0,539712	6	-0,183998	6	-1,12114	
7	-0,641282	7	-0,0743528	7	-1,18581	
8	-0,737851	8	0,0374786	8	-1,24143	
9	-0,831607	9	0,147436	9	-1,29205	
10	-0,918801	10	0,257705	10	-1,33266	
11	-0,999431	11	0,366101	11	-1,36578	
12	-1,07444	12	0,472622	12	-1,38922	
13	-1,14444	13	0,574769	13	-1,4064	
14	-1,20538	14	0,674418	14	-1,41359	
15	-1,26007	15	0,770318	15	-1,41171	
16	-1,3057	16	0,860283	16	-1,40109	
17	-1,34508	17	0,946187	17	-1,38297	
18	-1,37571	18	1,02522	18	-1,35641	
19	-1,39633	19	1,09894	19	-1,32017	
20	-1,41008	20	1,16516	20	-1,2758	
21	-1,4129	21	1,22483	21	-1,22393	
22	-1,40977	22	1,27637	22	-1,16519	
23	-1,39665	23	1,31948	23	-1,09864	
24	-1,37414	24	1,35634	24	-1,02459	
25	-1,34414	25	1,38352	25	-0,945544	
26	-1,3057	26	1,40195	26	-0,860246	
27	-1,26101	27	1,41132	27	-0,770887	
28	-1,2057	28	1,41319	28	-0,674029	
29	-1,1435	29	1,40632	29	-0,574984	
30	-1,07412	30	1,39133	30	-0,470939	
31	-0,999431	31	1,36602	31	-0,365333	
32	-0,918488	32	1,33291	32	-0,257539	
33	-0,83067	33	1,29262	33	-0,146308	
34	-0,738476	34	1,24357	34	-0,0363275	
35	-0,642219	35	1,18484	35	0,0742782	
36	-0,54315	36	1,12049	36	0,183634	
37	-0,435955	37	1,05083	37	0,295177	
38	-0,33001	38	0,973364	38	0,401721	
39	-0,21969	39	0,890584	39	0,508265	
40	-0,111245	40	0,800619	40	0,609185	
41	0,000637388	41	0,706593	41	0,707293	
42	0,111583	42	0,609443	42	0,801652	
43	0,221278	43	0,505734	43	0,889449	
44	0,32941	44	0,402024	44	0,973809	
45	0,43598	45	0,292692	45	1,05036	
46	0,540987	46	0,184296	46	1,12191	
47	0,643494	47	0,0743393	47	1,1869	
48	0,739751	48	-0,0368674	48	1,24282	
49	0,830695	49	-0,148074	49	1,29188	
50	0,919451	50	-0,257719	50	1,33281	
51	1,00039	51	-0,365177	51	1,36687	
52	1,07571	52	-0,47201	52	1,3903	
53	1,14322	53	-0,576032	53	1,40623	
54	1,20447	54	-0,675369	54	1,4128	
55	1,26135	55	-0,769394	55	1,41311	
56	1,30729	56	-0,860609	56	1,4028	
57	1,34542	57	-0,9462	57	1,38311	
58	1,37417	58	-1,02617	58	1,35562	
59	1,39698	59	-1,09833	59	1,32031	
60	1,41105	60	-1,16455	60	1,27782	
61	1,41417	61	-1,2239	61	1,22502	
62	1,40949	62	-1,27607	62	1,16565	
63	1,39636	63	-1,32074	63	1,09848	
64	1,37573	64	-1,35573	64	1,02599	
65	1,34542	65	-1,38353	65	0,946314	
66	1,30667	66	-1,40165	66	0,861329	
67	1,25979	67	-1,41321	67	0,770095	
68	1,20603	68	-1,41352	68	0,675111	
69	1,14509	69	-1,40571	69	0,576378	
70	1,07477	70	-1,39134	70	0,471084	
71	0,999457	71	-1,36604	71	0,366415	
72	0,917576	72	-1,33386	72	0,257996	
73	0,831945	73	-1,29138	73	0,148953	
74	0,740064	74	-1,24202	74	0,0377221	
75	0,642869	75	-1,18486	75	-0,0722588	
76	0,5413	76	-1,12207	76	-0,183802	
77	0,43723	77	-1,05085	77	-0,293783	
78	0,330348	78	-0,973377	78	-0,400639	
79	0,219715	79	-0,891534	79	-0,507183	
80	0,111583	80	-0,80032	80	-0,608103	
81	0,000324867	81	-0,707544	81	-0,706835	
82	-0,11062	82	-0,608207	82	-0,800257	
83	-0,221253	83	-0,506684	83	-0,889616	
84	-0,329698	84	-0,401413	84	-0,973039	
85	-0,436893	85	-0,293955	85	-1,0499	
86	-0,54065	86	-0,184935	86	-1,12176	
87	-0,642532	87	-0,0740404	87	-1,18613	
88	-0,739413	88	0,0365415	88	-1,2433	
89	-0,830357	89	0,148373	89	-1,29142	
90	-0,918176	90	0,257705	90	-1,33204	
91	-0,998494	91	0,366413	91	-1,36485	
92	-1,07662	92	0,471372	92	-1,39047	
93	-1,14288	93	0,575394	93	-1,40515	
94	-1,20507	94	0,675043	94	-1,41296	
95	-1,25945	95	0,769069	95	-1,41202	
96	-1,3057	96	0,86247	96	-1,40078	
97	-1,34602	97	0,945875	97	-1,38359	
98	-1,37414	98	1,02647	98	-1,35453	
99	-1,39665	99	1,09894	99	-1,31985	
100	-1,40946	100	1,16579	100	-1,27549	
101	-1,41446	101	1,22452	101	-1,22487	
102	-1,40852	102	1,27668	102	-1,16457	
103	-1,3954	103	1,32135	103	-1,0977	
104	-1,37477	104	1,35572	104	-1,02584	
105	-1,34602	105	1,38289	105	-0,946481	
106	-1,30695	106	1,40132	106	-0,860871	
107	-1,25851	107	1,41257	107	-0,7687	
108	-1,20538	108	1,41413	108	-0,674341	
109	-1,1435	109	1,40601	109	-0,574046	
110	-1,07631	110	1,39008	110	-0,472189	
111	-0,999431	111	1,36571	111	-0,365645	
112	-0,917238	112	1,33354	112	-0,256602	
113	-0,831295	113	1,29168	113	-0,147871	
114	-0,739413	114	1,24263	114	-0,03664	
115	-0,642844	115	1,18453	115	0,0733408	
116	-0,541587	116	1,12206	116	0,185196	
117	-0,43658	117	1,05115	117	0,29424	
118	-0,329698	118	0,973677	118	0,402971	
119	-0,221878	119	0,889647	119	0,506703	
120	-0,11062	120	0,799994	120	0,608873	
121	-0,000300176	121	0,707218	121	0,707293	
122	0,111583	122	0,609131	122	0,801027	
123	0,221903	123	0,506671	123	0,891011	
124	0,328785	124	0,40015	124	0,972559	
125	0,436918	125	0,294254	125	1,05161	
126	0,540675	126	0,184296	126	1,12128	
127	0,643182	127	0,0752764	127	1,18658	
128	0,739126	128	-0,0368674	128	1,24282	
129	0,831007	129	-0,148074	129	1,29188	
130	0,919451	130	-0,257094	130	1,33406	
131	0,999457	131	-0,366114	131	1,36624	
132	1,0754	132	-0,47201	132	1,39124	
133	1,14322	133	-0,576657	133	1,4053	
134	1,20572	134	-0,673807	134	1,41436	
135	1,26072	135	-0,769394	135	1,4128	
136	1,3076	136	-0,860296	136	1,40248	
137	1,34417	137	-0,947138	137	1,38311	
138	1,37448	138	-1,02523	138	1,35593	
139	1,39667	139	-1,09927	139	1,32	
140	1,41105	140	-1,16455	140	1,27719	
141	1,41417	141	-1,2239	141	1,22533	
142	1,40855	142	-1,27701	142	1,1644	
143	1,39698	143	-1,3198	143	1,09941	
144	1,3748	144	-1,35542	144	1,02599	
145	1,34511	145	-1,38228	145	0,947251	
146	1,30667	146	-1,40196	146	0,861329	
147	1,26072	147	-1,41164	147	0,770407	
148	1,20666	148	-1,41289	148	0,675111	
149	1,14384	149	-1,40696	149	0,574816	
150	1,07384	150	-1,39165	150	0,471709	
151	0,999457	151	-1,36635	151	0,366102	
152	0,919451	152	-1,33261	152	0,259246	
153	0,831632	153	-1,292	153	0,148015	
154	0,739126	154	-1,24296	154	0,0377221	
155	0,641932	155	-1,18548	155	-0,0735086	
156	0,5413	156	-1,12113	156	-0,184114	
157	0,43723	157	-1,05022	157	-0,29347	
158	0,329098	158	-0,974002	158	-0,401889	
159	0,220965	159	-0,890285	159	-0,507183	
160	0,110645	160	-0,800632	160	-0,60904	
161	0,00126243	161	-0,706606	161	-0,705898	
162	-0,110933	162	-0,609144	162	-0,800569	
163	-0,221253	163	-0,506372	163	-0,889616	
164	-0,330323	164	-0,402038	164	-0,973039	
165	-0,435955	165	-0,293955	165	-1,05021	
166	-0,54065	166	-0,183685	166	-1,12083	
167	-0,642219	167	-0,0749776	167	-1,18613	
168	-0,739413	168	0,0371662	168	-1,24268	
169	-0,832232	169	0,146811	169	-1,29236	
170	-0,918176	170	0,258018	170	-1,33235	
171	-1,00068	171	0,365788	171	-1,36641	
172	-1,07444	172	0,472309	172	-1,38984	
173	-1,14382	173	0,575394	173	-1,4064	
174	-1,20507	174	0,675355	174	-1,41327	
175	-1,25945	175	0,770943	175	-1,4114	
176	-1,30664	176	0,860283	176	-1,40265	
177	-1,34508	177	0,945563	177	-1,38359	
178	-1,37539	178	1,02522	178	-1,35578	
179	-1,39571	179	1,09988	179	-1,31923	
