Time - Plot 0	Amplitude - Plot 0	Time - Plot 1	Amplitude - Plot 1	Time - Plot 2	Amplitude - Plot 2	
0	0,000637388	0	-0,000319168	0	0,000228591	
1	0,000324867	1	-0,706606	1	-0,706211	
2	-0,11187	2	-0,610082	2	-0,801506	
3	-0,220628	3	-0,506372	3	-0,889304	
4	-0,330323	4	-0,401725	4	-0,973039	
5	-0,436893	5	-0,293955	5	-1,0499	
6	-0,54065	6	-0,18431	6	-1,12114	
7	-0,642219	7	-0,0746652	7	-1,18613	
8	-0,739413	8	0,0365415	8	-1,24268	
9	-0,83192	9	0,147436	9	-1,29173	
10	-0,917551	10	0,258642	10	-1,33173	
11	-0,999431	11	0,365476	11	-1,36547	
12	-1,07506	12	0,471685	12	-1,38953	
13	-1,14288	13	0,576019	13	-1,40546	
14	-1,20663	14	0,672856	14	-1,41484	
15	-1,25945	15	0,770631	15	-1,41171	
16	-1,30601	16	0,86122	16	-1,4014	
17	-1,34445	17	0,946812	17	-1,38265	
18	-1,37446	18	1,02616	18	-1,35516	
19	-1,39602	19	1,09863	19	-1,31954	
20	-1,41008	20	1,16516	20	-1,27549	
21	-1,41477	21	1,22358	21	-1,22518	
22	-1,40883	22	1,27668	22	-1,16426	
23	-1,39665	23	1,31979	23	-1,09927	
24	-1,37571	24	1,35603	24	-1,02584	
25	-1,34477	25	1,3832	25	-0,945856	
26	-1,30508	26	1,40132	26	-0,860559	
27	-1,26101	27	1,41163	27	-0,770574	
28	-1,20695	28	1,41319	28	-0,674966	
29	-1,14319	29	1,40663	29	-0,574046	
30	-1,07506	30	1,39039	30	-0,471877	
31	-0,999744	31	1,36571	31	-0,365645	
32	-0,917863	32	1,33354	32	-0,256602	
33	-0,83067	33	1,29105	33	-0,147558	
34	-0,739413	34	1,24232	34	-0,0369524	
35	-0,641907	35	1,18547	35	0,0742782	
36	-0,540337	36	1,12206	36	0,185509	
37	-0,437518	37	1,0499	37	0,293927	
38	-0,329385	38	0,973989	38	0,402034	
39	-0,221253	39	0,890584	39	0,508578	
40	-0,112183	40	0,799994	40	0,607935	
41	0,00157495	41	0,70753	41	0,707918	
42	0,110332	42	0,608506	42	0,801339	
43	0,221278	43	0,506671	43	0,889761	
44	0,330348	44	0,402024	44	0,974122	
45	0,437543	45	0,294254	45	1,05161	
46	0,540987	46	0,184296	46	1,12253	
47	0,641619	47	0,0743393	47	1,18596	
48	0,739751	48	-0,0362427	48	1,24376	
49	0,830695	49	-0,148386	49	1,29125	
50	0,918201	50	-0,257719	50	1,33281	
51	1,00008	51	-0,365177	51	1,36718	
52	1,07384	52	-0,47326	52	1,38936	
53	1,14415	53	-0,574783	53	1,40686	
54	1,20603	54	-0,674431	54	1,41436	
55	1,25916	55	-0,770644	55	1,41186	
56	1,30635	56	-0,861546	56	1,40217	
57	1,34511	57	-0,945888	57	1,3828	
58	1,37417	58	-1,02586	58	1,35624	
59	1,39605	59	-1,09958	59	1,31937	
60	1,41136	60	-1,16424	60	1,27751	
61	1,4148	61	-1,22484	61	1,2247	
62	1,4098	62	-1,27607	62	1,16503	
63	1,39698	63	-1,32043	63	1,09972	
64	1,37355	64	-1,35698	64	1,02443	
65	1,34542	65	-1,38322	65	0,946314	
66	1,30667	66	-1,40165	66	0,861016	
67	1,25916	67	-1,41227	67	0,770095	
68	1,20603	68	-1,41446	68	0,674486	
69	1,14447	69	-1,40602	69	0,575128	
70	1,07415	70	-1,39196	70	0,471084	
71	0,998832	71	-1,36697	71	0,365477	
72	0,919139	72	-1,3323	72	0,258621	
73	0,831007	73	-1,29232	73	0,148328	
74	0,738813	74	-1,24296	74	0,0367847	
75	0,642244	75	-1,18579	75	-0,073821	
76	0,540362	76	-1,12301	76	-0,185364	
77	0,437543	77	-1,05053	77	-0,293158	
78	0,33066	78	-0,97244	78	-0,400639	
79	0,220965	79	-0,88966	79	-0,50687	
80	0,11127	80	-0,801257	80	-0,608415	
81	0,000637388	81	-0,706919	81	-0,707148	
82	-0,11187	82	-0,608832	82	-0,801194	
83	-0,221878	83	-0,507309	83	-0,890553	
84	-0,329073	84	-0,400163	84	-0,973039	
85	-0,436893	85	-0,29458	85	-1,05021	
86	-0,54065	86	-0,183998	86	-1,12114	
87	-0,640657	87	-0,0731033	87	-1,18519	
88	-0,739101	88	0,0365415	88	-1,24268	
89	-0,831295	89	0,147123	89	-1,29142	
90	-0,918488	90	0,257705	90	-1,33266	
91	-0,999119	91	0,366101	91	-1,36516	
92	-1,07444	92	0,472309	92	-1,39015	
93	-1,14319	93	0,574769	93	-1,40578	
94	-1,2057	94	0,675043	94	-1,41327	
95	-1,26039	95	0,769069	95	-1,41202	
96	-1,30633	96	0,86122	96	-1,40171	
97	-1,34508	97	0,945563	97	-1,38297	
98	-1,37477	98	1,02522	98	-1,35547	
99	-1,39696	99	1,09894	99	-1,32017	
