Time - Plot 0	Amplitude - Plot 0	Time - Plot 1	Amplitude - Plot 1	Time - Plot 2	Amplitude - Plot 2	
0	0,000324867	0	-6,7895E-6	0	0,000853482	
1	0,00094991	1	-0,706919	1	-0,706211	
2	-0,11187	2	-0,609769	2	-0,801194	
3	-0,221878	3	-0,506997	3	-0,890241	
4	-0,329385	4	-0,401413	4	-0,972726	
5	-0,435955	5	-0,293955	5	-1,04959	
6	-0,5419	6	-0,185247	6	-1,12145	
7	-0,641282	7	-0,0734157	7	-1,18519	
8	-0,737851	8	0,0371662	8	-1,24205	
9	-0,83192	9	0,146499	9	-1,29236	
10	-0,918801	10	0,257393	10	-1,33204	
11	-1,00006	11	0,366101	11	-1,36578	
12	-1,07537	12	0,471997	12	-1,39047	
13	-1,14319	13	0,575707	13	-1,40578	
14	-1,20507	14	0,674418	14	-1,41327	
15	-1,2607	15	0,769694	15	-1,41296	
16	-1,30664	16	0,860283	16	-1,40203	
17	-1,34383	17	0,9465	17	-1,38234	
18	-1,37508	18	1,02553	18	-1,35547	
19	-1,39665	19	1,09863	19	-1,31985	
20	-1,40915	20	1,16641	20	-1,27549	
21	-1,41446	21	1,22389	21	-1,22518	
22	-1,41008	22	1,27575	22	-1,16488	
23	-1,39696	23	1,32042	23	-1,09895	
24	-1,37414	24	1,35603	24	-1,02522	
25	-1,34477	25	1,38352	25	-0,945856	
26	-1,30633	26	1,40132	26	-0,860559	
27	-1,2607	27	1,41163	27	-0,769949	
28	-1,2057	28	1,41319	28	-0,675278	
29	-1,14225	29	1,40726	29	-0,574046	
30	-1,07569	30	1,39008	30	-0,472189	
31	-1,00068	31	1,36509	31	-0,36627	
32	-0,917863	32	1,33322	32	-0,257227	
33	-0,831607	33	1,29105	33	-0,148183	
34	-0,739101	34	1,24295	34	-0,0369524	
35	-0,641594	35	1,18578	35	0,0745906	
36	-0,541275	36	1,12112	36	0,184884	
37	-0,437518	37	1,0499	37	0,293615	
38	-0,329698	38	0,973677	38	0,402034	
39	-0,22094	39	0,889959	39	0,507015	
40	-0,111558	40	0,799994	40	0,608873	
41	0,00094991	41	0,706906	41	0,707918	
42	0,110645	42	0,608506	42	0,801027	
43	0,221278	43	0,506671	43	0,890386	
44	0,331598	44	0,402337	44	0,974434	
45	0,436605	45	0,293004	45	1,04973	
46	0,540362	46	0,184609	46	1,12128	
47	0,642244	47	0,0746516	47	1,1869	
48	0,738813	48	-0,0368674	48	1,24314	
49	0,831007	49	-0,148074	49	1,29157	
50	0,918513	50	-0,258031	50	1,33312	
51	0,999457	51	-0,366427	51	1,36655	
52	1,07446	52	-0,472947	52	1,38967	
53	1,1454	53	-0,573846	53	1,40717	
54	1,20572	54	-0,675056	54	1,41436	
55	1,26041	55	-0,769707	55	1,41248	
56	1,3076	56	-0,860296	56	1,40373	
57	1,34448	57	-0,947138	57	1,38249	
58	1,37448	58	-1,02554	58	1,35593	
59	1,3973	59	-1,09895	59	1,32094	
60	1,41042	60	-1,16487	60	1,27751	
61	1,41449	61	-1,22453	61	1,22533	
62	1,4098	62	-1,27638	62	1,16471	
63	1,39636	63	-1,32137	63	1,09848	
64	1,3748	64	-1,35604	64	1,02568	
65	1,34511	65	-1,38259	65	0,947564	
66	1,30667	66	-1,40227	66	0,860391	
67	1,26041	67	-1,41258	67	0,770095	
68	1,20572	68	-1,41352	68	0,675424	
69	1,1429	69	-1,40727	69	0,574504	
70	1,0754	70	-1,3904	70	0,472021	
71	0,999769	71	-1,36604	71	0,366415	
72	0,919139	72	-1,33292	72	0,258934	
73	0,831007	73	-1,29232	73	0,147703	
74	0,739439	74	-1,24202	74	0,0377221	
75	0,641932	75	-1,18642	75	-0,0735086	
76	0,540362	76	-1,12301	76	-0,185364	
77	0,437855	77	-1,05022	77	-0,291908	
78	0,330035	78	-0,97369	78	-0,400951	
79	0,22159	79	-0,88966	79	-0,505621	
