fs 4800
kfs 1 hz, no plot 1

Time - Plot 0	Amplitude - Plot 0	Time - Plot 1	Amplitude - Plot 1	Time - Plot 2	Amplitude - Plot 2	
29396	0,222215	29396	0,221469	29396	0,222065	
29397	0,110645	29397	0,1112	29397	0,111459	
29398	-0,000612698	29398	-0,000631546	29398	-0,0003963	
29399	-0,110308	29399	-0,110589	29399	-0,110065	
29400	-0,220628	29400	-0,221171	29400	-0,22067	
29401	-0,330323	29401	-0,330815	29401	-0,330026	
29402	-0,436893	29402	-0,437336	29402	-0,43657	
29403	-0,541275	29403	-0,541983	29403	-0,541239	
29404	-0,642532	29404	-0,642256	29404	-0,641847	
29405	-0,738788	29405	-0,739718	29405	-0,738392	
29406	-0,832545	29406	-0,832495	29406	-0,831501	
29407	-0,916613	29407	-0,917462	29407	-0,916486	
29408	-0,999744	29408	-1,00055	29408	-0,998972	
29409	-1,076	29409	-1,07646	29409	-1,07615	
29410	-1,14319	29410	-1,14331	29410	-1,14301	
29411	-1,20507	29411	-1,20579	29411	-1,2055	
29412	-1,26101	29412	-1,26077	29412	-1,26111	
29413	-1,30726	29413	-1,30731	29413	-1,30673	
29414	-1,34352	29414	-1,34417	29414	-1,34329	
29415	-1,37539	29415	-1,37603	29415	-1,37547	
29416	-1,39727	29416	-1,39727	29416	-1,39734	
29417	-1,40977	29417	-1,40946	29417	-1,4089	
29418	-1,41352	29418	-1,41414	29418	-1,41359	
29419	-1,40977	29419	-1,40977	29419	-1,4089	
29420	-1,39727	29420	-1,39696	29420	-1,3964	
29421	-1,37477	29421	-1,3751	29421	-1,37453	
29422	-1,34414	29422	-1,34417	29422	-1,34391	
29423	-1,30695	29423	-1,307	29423	-1,30611	
29424	-1,25945	29424	-1,25952	29424	-1,25924	
29425	-1,20507	29425	-1,20547	29425	-1,20487	
29426	-1,14319	29426	-1,14331	29426	-1,14332	
29427	-1,07537	29427	-1,07521	29427	-1,0749	
29428	-0,999431	29428	-1,00055	29428	-0,999597	
29429	-0,917863	29429	-0,917774	29429	-0,918049	
29430	-0,830982	29430	-0,830933	29430	-0,830251	
29431	-0,739101	29431	-0,740031	29431	-0,738705	
29432	-0,641594	29432	-0,641632	29432	-0,641222	
29433	-0,5394	29433	-0,541046	29433	-0,539365	
29434	-0,43908	29434	-0,439523	29434	-0,438132	
29435	-0,330635	29435	-0,330815	29435	-0,330339	
29436	-0,21969	29436	-0,220546	29436	-0,219733	
29437	-0,11062	29437	-0,111526	29437	-0,11069	
29438	1,23455E-5	29438	-6,7895E-6	29438	0,000541036	
29439	0,110332	29439	0,1112	29439	0,110834	
29440	0,221903	29440	0,221469	29440	0,221752	
29441	0,32941	29441	0,328928	29441	0,329546	
29442	0,436918	29442	0,436073	29442	0,436715	
29443	0,541612	29443	0,541033	29443	0,541697	
29444	0,642869	29444	0,642868	29444	0,642929	
29445	0,738501	29445	0,738143	29445	0,739475	
29446	0,832257	29446	0,831545	29446	0,832584	
29447	0,918201	29447	0,918698	29447	0,918819	
29448	0,999769	29448	0,999917	29448	1,00005	
29449	1,07509	29449	1,07457	29449	1,07442	
29450	1,14353	29450	1,14299	29450	1,14347	
29451	1,20666	29451	1,2064	29451	1,20689	
29452	1,25979	29452	1,25982	29452	1,26001	
29453	1,3051	29453	1,3048	29453	1,30531	
29454	1,34573	29454	1,34541	29454	1,34656	
29455	1,37636	29455	1,37602	29455	1,37655	
29456	1,3948	29456	1,39476	29456	1,39592	
29457	1,4098	29457	1,40913	29457	1,40967	
29458	1,41636	29458	1,41538	29458	1,41592	
29459	1,40949	29459	1,40882	29459	1,40967	
29460	1,3973	29460	1,39664	29460	1,3978	
29461	1,37542	29461	1,37508	29461	1,37593	
29462	1,34604	29462	1,34447	29462	1,34562	
29463	1,30667	29463	1,30605	29463	1,30688	
29464	1,2601	29464	1,25982	29464	1,26063	
29465	1,20478	29465	1,20484	29465	1,20471	
29466	1,14509	29466	1,14455	29466	1,14565	
29467	1,07477	29467	1,07489	29467	1,07535	
29468	0,999769	29468	1,00023	29468	1,00068	
29469	0,919451	29469	0,918698	29469	0,919444	
29470	0,830695	29470	0,83092	29470	0,831021	
29471	0,739126	29471	0,738456	29471	0,73885	
29472	0,641932	29472	0,641931	29472	0,642304	
29473	0,541925	29473	0,541657	29473	0,541384	
29474	0,436605	29474	0,436386	29474	0,43734	
29475	0,32941	29475	0,328303	29475	0,329546	
29476	0,22159	29476	0,221469	29476	0,222377	
29477	0,112833	29477	0,112449	29477	0,112084	
29478	-0,000612698	29478	-0,0012563	29478	-0,000708746	
29479	-0,11062	29479	-0,111526	29479	-0,110065	
29480	-0,220315	29480	-0,220233	29480	-0,220045	
29481	-0,330635	29481	-0,33144	29481	-0,330651	
29482	-0,43783	29482	-0,437024	29482	-0,436258	
29483	-0,540962	29483	-0,540734	29483	-0,540927	
29484	-0,641907	29484	-0,641944	29484	-0,641847	
29485	-0,739413	29485	-0,739406	29485	-0,739017	
29486	-0,83192	29486	-0,832182	29486	-0,832439	
29487	-0,918801	29487	-0,919024	29487	-0,919298	
29488	-0,999744	29488	-0,999929	29488	-1,00022	
29489	-1,07569	29489	-1,07552	29489	-1,07552	
29490	-1,14413	29490	-1,14519	29490	-1,14363	
29491	-1,20507	29491	-1,2061	29491	-1,20487	
29492	-1,25945	29492	-1,26045	29492	-1,25986	
29493	-1,30539	29493	-1,30637	29493	-1,30548	
29494	-1,34539	29494	-1,34573	29494	-1,34516	
29495	-1,37414	29495	-1,37478	29495	-1,37359	
29496	-1,39571	29496	-1,39665	29496	-1,39578	
29497	-1,4104	29497	-1,41133	29497	-1,40984	
29498	-1,41415	29498	-1,41508	29498	-1,4139	
29499	-1,40821	29499	-1,40883	29499	-1,40796	
29500	-1,39696	29500	-1,3979	29500	-1,3964	
29501	-1,37446	29501	-1,37541	29501	-1,37453	
29502	-1,34445	29502	-1,34479	29502	-1,34391	
29503	-1,30601	29503	-1,30668	29503	-1,30611	
29504	-1,25945	29504	-1,26014	29504	-1,25924	
29505	-1,20663	29505	-1,20547	29505	-1,20612	
29506	-1,14319	29506	-1,14331	29506	-1,14363	
29507	-1,07569	29507	-1,07521	29507	-1,0749	
29508	-0,999119	29508	-0,999929	29508	-0,999284	
29509	-0,917863	29509	-0,918399	29509	-0,918361	
29510	-0,83067	29510	-0,831245	29510	-0,830876	
29511	-0,737851	29511	-0,738781	29511	-0,737768	
29512	-0,640657	29512	-0,641632	29512	-0,640909	
29513	-0,542525	29513	-0,542608	29513	-0,541864	
29514	-0,436893	29514	-0,437649	29514	-0,436883	
29515	-0,329385	29515	-0,329566	29515	-0,329089	
29516	-0,221878	29516	-0,22242	29516	-0,221608	
29517	-0,110933	29517	-0,111526	29517	-0,110377	
29518	0,000324867	29518	-0,000319168	29518	0,000541036	
29519	0,110645	29519	0,110575	29519	0,109897	
29520	0,22159	29520	0,221782	29520	0,221752	
29521	0,329723	29521	0,330177	29521	0,330171	
29522	0,438168	29522	0,437635	29522	0,43859	
29523	0,541612	29523	0,541033	29523	0,542322	
29524	0,641932	29524	0,640994	29524	0,641992	
29525	0,738813	29525	0,738456	29525	0,739162	
29526	0,830382	29526	0,83092	29526	0,831646	
29527	0,918201	29527	0,918073	29527	0,919131	
29528	1,00039	29528	0,999917	29528	1,00037	
29529	1,0754	29529	1,07551	29529	1,07629	
29530	1,14478	29530	1,14424	29530	1,14503	
29531	1,20572	29531	1,20546	29531	1,20596	
29532	1,25885	29532	1,25919	29532	1,25938	
29533	1,3076	29533	1,3073	29533	1,30781	
29534	1,34511	29534	1,34478	29534	1,34562	
29535	1,37355	29535	1,37352	29535	1,37374	
29536	1,39792	29536	1,39757	29536	1,39811	
29537	1,41167	29537	1,41101	29537	1,41155	
29538	1,4123	29538	1,41226	29538	1,4128	
29539	1,41042	29539	1,40976	29539	1,41061	
29540	1,39667	29540	1,39695	29540	1,39717	
29541	1,37386	29541	1,37352	29541	1,37374	
29542	1,34573	29542	1,34541	29542	1,34624	
