Time - Plot 0	Amplitude - Plot 0	Time - Plot 1	Amplitude - Plot 1	Time - Plot 2	Amplitude - Plot 2	
27402	-0,739413	27402	-0,739718	27402	-0,738392	
27403	-0,830982	27403	-0,830933	27403	-0,830876	
27404	-0,918176	27404	-0,918399	27404	-0,918361	
27405	-1,00068	27405	-1,00087	27405	-1,00085	
27406	-1,076	27406	-1,07615	27406	-1,07521	
27407	-1,1435	27407	-1,14362	27407	-1,14363	
27408	-1,20538	27408	-1,20579	27408	-1,20519	
27409	-1,25914	27409	-1,25952	27409	-1,25955	
27410	-1,30695	27410	-1,307	27410	-1,30642	
27411	-1,34445	27411	-1,34479	27411	-1,34422	
27412	-1,37383	27412	-1,37447	27412	-1,37422	
27413	-1,39727	27413	-1,3979	27413	-1,39734	
27414	-1,4104	27414	-1,41071	27414	-1,40952	
27415	-1,41383	27415	-1,41352	27415	-1,41327	
27416	-1,4104	27416	-1,40977	27416	-1,40921	
27417	-1,39727	27417	-1,3979	27417	-1,3964	
27418	-1,37539	27418	-1,37541	27418	-1,37453	
27419	-1,3432	27419	-1,34417	27419	-1,34297	
27420	-1,30601	27420	-1,30637	27420	-1,30579	
27421	-1,25976	27421	-1,25952	27421	-1,25986	
27422	-1,20601	27422	-1,20579	27422	-1,2055	
27423	-1,14382	27423	-1,14456	27423	-1,14426	
27424	-1,07412	27424	-1,07428	27424	-1,0749	
27425	-0,998806	27425	-0,999617	27425	-0,999284	
27426	-0,919426	27426	-0,919961	27426	-0,919611	
27427	-0,830982	27427	-0,83062	27427	-0,831501	
27428	-0,738163	27428	-0,737844	27428	-0,737768	
27429	-0,641282	27429	-0,642256	27429	-0,642159	
27430	-0,542212	27430	-0,541983	27430	-0,541552	
27431	-0,43658	27431	-0,437336	27431	-0,43657	
27432	-0,329385	27432	-0,330503	27432	-0,330026	
27433	-0,22094	27433	-0,220858	27433	-0,22067	
27434	-0,11062	27434	-0,111213	27434	-0,10944	
27435	0,000324867	27435	0,000305589	27435	0,000853482	
27436	0,109707	27436	0,110263	27436	0,110522	
27437	0,22159	27437	0,221782	27437	0,221752	
27438	0,330348	27438	0,33049	27438	0,330484	
27439	0,435667	27439	0,436073	27439	0,43609	
27440	0,541612	27440	0,541033	27440	0,541697	
27441	0,642557	27441	0,642556	27441	0,642929	
27442	0,739126	27442	0,738456	27442	0,73885	
27443	0,830382	27443	0,830295	27443	0,831334	
