Time - Plot 0	Amplitude - Plot 0	Time - Plot 1	Amplitude - Plot 1	Time - Plot 2	Amplitude - Plot 2	
27979	0,540675	27979	0,541033	27979	0,541072	
27980	0,642244	27980	0,642243	27980	0,642304	
27981	0,738813	27981	0,738456	27981	0,738225	
27982	0,830382	27982	0,830295	27982	0,831334	
27983	0,918513	27983	0,918073	27983	0,918506	
27984	0,999457	27984	0,999604	27984	0,999742	
27985	1,07571	27985	1,07551	27985	1,07629	
27986	1,14322	27986	1,14392	27986	1,14409	
27987	1,20603	27987	1,20609	27987	1,20627	
27988	1,25947	27988	1,2595	27988	1,26001	
27989	1,30729	27989	1,30698	27989	1,3075	
27990	1,34479	27990	1,34478	27990	1,34531	
27991	1,37511	27991	1,37571	27991	1,37561	
27992	1,3973	27992	1,39664	27992	1,39749	
27993	1,41011	27993	1,40913	27993	1,4103	
27994	1,41355	27994	1,41319	27994	1,41405	
27995	1,41042	27995	1,40976	27995	1,41061	
27996	1,3973	27996	1,39757	27996	1,39811	
27997	1,37448	27997	1,37415	27997	1,37436	
27998	1,34386	27998	1,34447	27998	1,34499	
27999	1,30698	27999	1,30667	27999	1,30719	
28000	1,25947	28000	1,2595	28000	1,25938	
28001	1,2051	28001	1,20484	28001	1,20564	
28002	1,14415	28002	1,14361	28002	1,1444	
28003	1,0754	28003	1,07489	28003	1,07535	
28004	0,999769	28004	0,999604	28004	1,00037	
28005	0,918826	28005	0,917761	28005	0,919444	
28006	0,83132	28006	0,831232	28006	0,831959	
28007	0,737563	28007	0,738143	28007	0,739162	
28008	0,642869	28008	0,642556	28008	0,642304	
28009	0,541612	28009	0,541657	28009	0,542322	
28010	0,435667	28010	0,435449	28010	0,43609	
28011	0,330035	28011	0,329865	28011	0,330484	
28012	0,222528	28012	0,222407	28012	0,22269	
28013	0,11002	28013	0,109326	28013	0,110209	
28014	-0,000300176	28014	-0,000631546	28014	0,000541036	
28015	-0,109995	28015	-0,110901	28015	-0,110065	
28016	-0,22094	28016	-0,221483	28016	-0,221295	
28017	-0,330635	28017	-0,330815	28017	-0,330651	
28018	-0,435955	28018	-0,437024	28018	-0,436258	
28019	-0,540962	28019	-0,541046	28019	-0,540615	
28020	-0,640969	28020	-0,642256	28020	-0,641222	
28021	-0,739726	28021	-0,739406	28021	-0,738705	
28022	-0,830045	28022	-0,830933	28022	-0,830564	
28023	-0,917238	28023	-0,917774	28023	-0,917736	
28024	-0,998806	28024	-0,999617	28024	-0,999284	
28025	-1,07506	28025	-1,07521	28025	-1,07427	
28026	-1,14288	28026	-1,14425	28026	-1,14363	
28027	-1,20538	28027	-1,20547	28027	-1,20487	
28028	-1,25882	28028	-1,26014	28028	-1,25893	
28029	-1,30695	28029	-1,30731	28029	-1,30704	
28030	-1,34383	28030	-1,34417	28030	-1,3436	
28031	-1,37258	28031	-1,37353	28031	-1,37328	
28032	-1,39696	28032	-1,39727	28032	-1,39671	
28033	-1,4104	28033	-1,41039	28033	-1,40921	
28034	-1,41508	28034	-1,41477	28034	-1,4139	
28035	-1,40915	28035	-1,40977	28035	-1,4089	
28036	-1,3979	28036	-1,39727	28036	-1,3964	
28037	-1,37602	28037	-1,37666	28037	-1,37547	
28038	-1,34477	28038	-1,34511	28038	-1,34391	
28039	-1,30664	28039	-1,30731	28039	-1,30611	
28040	-1,25914	28040	-1,2592	28040	-1,25893	
28041	-1,20445	28041	-1,20547	28041	-1,20487	
28042	-1,14475	28042	-1,1455	28042	-1,14488	
28043	-1,07444	28043	-1,07552	28043	-1,07458	
28044	-0,998806	28044	-0,998992	28044	-0,998659	
28045	-0,918488	28045	-0,919648	28045	-0,918986	
28046	-0,832232	28046	-0,832495	28046	-0,832126	
28047	-0,737851	28047	-0,738781	28047	-0,738392	
28048	-0,640657	28048	-0,641319	28048	-0,641534	
28049	-0,54065	28049	-0,540734	28049	-0,53999	
28050	-0,437205	28050	-0,437649	28050	-0,436883	
28051	-0,329698	28051	-0,330191	28051	-0,329714	
28052	-0,221565	28052	-0,221795	28052	-0,22067	
28053	-0,109995	28053	-0,110276	28053	-0,110377	
28054	-0,000300176	28054	-0,000631546	28054	-8,38547E-5	
28055	0,110645	28055	0,10995	28055	0,110522	
28056	0,221903	28056	0,221782	28056	0,221752	
28057	0,331285	28057	0,330802	28057	0,331421	
28058	0,436292	28058	0,436386	28058	0,437028	
28059	0,541612	28059	0,541345	28059	0,541384	
28060	0,642557	28060	0,642556	28060	0,642929	
28061	0,738501	28061	0,737519	28061	0,737913	
28062	0,831632	28062	0,83092	28062	0,831334	
28063	0,917888	28063	0,918386	28063	0,918819	
28064	1,00039	28064	0,999604	28064	1,00005	
28065	1,07571	28065	1,07489	28065	1,07567	
28066	1,14415	28066	1,14392	28066	1,1444	
28067	1,20447	28067	1,20452	28067	1,20564	
28068	1,25979	28068	1,25982	28068	1,26032	
28069	1,30792	28069	1,3073	28069	1,30813	
28070	1,34511	28070	1,34416	28070	1,34562	
28071	1,37417	28071	1,37446	28071	1,37436	
28072	1,39823	28072	1,39695	28072	1,39811	
28073	1,41042	28073	1,40944	28073	1,41061	
28074	1,41261	28074	1,41163	28074	1,41311	
28075	1,40949	28075	1,40944	28075	1,40998	
28076	1,39761	28076	1,39695	28076	1,39749	
28077	1,37417	28077	1,37415	28077	1,37468	
28078	1,34511	28078	1,34478	28078	1,34562	
28079	1,30573	28079	1,30574	28079	1,30625	
28080	1,25979	28080	1,25982	28080	1,26063	
28081	1,20572	28081	1,20546	28081	1,20596	
28082	1,1429	28082	1,14299	28082	1,14347	
28083	1,07571	28083	1,07489	28083	1,07535	
28084	0,999769	28084	0,999917	28084	1,00068	
28085	0,918826	28085	0,917761	28085	0,918819	
28086	0,830695	28086	0,830607	28086	0,830709	
28087	0,738501	28087	0,738768	28087	0,73885	
28088	0,642557	28088	0,642243	28088	0,641992	
28089	0,541612	28089	0,541033	28089	0,541697	
28090	0,435667	28090	0,435449	28090	0,436715	
28091	0,329723	28091	0,329552	28091	0,329859	
28092	0,22159	28092	0,221469	28092	0,22144	
28093	0,110957	28093	0,10995	28093	0,110834	
28094	-0,000612698	28094	-0,000943924	28094	0,000541036	
28095	-0,111245	28095	-0,111213	28095	-0,11069	
28096	-0,221565	28096	-0,221483	28096	-0,220983	
28097	-0,329073	28097	-0,329878	28097	-0,329089	
28098	-0,438143	28098	-0,437961	28098	-0,437508	
28099	-0,5394	28099	-0,540734	28099	-0,540302	
28100	-0,641594	28100	-0,641944	28100	-0,641222	
28101	-0,737851	28101	-0,738781	28101	-0,73808	
28102	-0,830357	28102	-0,830933	28102	-0,829314	
28103	-0,919426	28103	-0,920585	28103	-0,919923	
28104	-0,998806	28104	-0,999305	28104	-0,998972	
28105	-1,07444	28105	-1,07459	28105	-1,07427	
28106	-1,14475	28106	-1,1455	28106	-1,14426	
28107	-1,2057	28107	-1,20641	28107	-1,2055	
28108	-1,26039	28108	-1,25952	28108	-1,25924	
28109	-1,30539	28109	-1,30668	28109	-1,30579	
28110	-1,34508	28110	-1,34542	28110	-1,34422	
28111	-1,37508	28111	-1,37572	28111	-1,37484	
28112	-1,39633	28112	-1,39634	28112	-1,39609	
28113	-1,40915	28113	-1,40946	28113	-1,40859	
28114	-1,41415	28114	-1,41446	28114	-1,41359	
28115	-1,40883	28115	-1,41071	28115	-1,40952	
28116	-1,39727	28116	-1,39696	28116	-1,39703	
28117	-1,37414	28117	-1,37478	28117	-1,37359	
28118	-1,34414	28118	-1,34386	28118	-1,3436	
28119	-1,30789	28119	-1,30825	28119	-1,30829	
28120	-1,25945	28120	-1,26014	28120	-1,25893	
28121	-1,20445	28121	-1,20547	28121	-1,20425	
28122	-1,14444	28122	-1,1455	28122	-1,14426	
28123	-1,07631	28123	-1,07615	28123	-1,07521	
28124	-1,00006	28124	-0,999617	28124	-0,999284	
28125	-0,918176	28125	-0,918711	28125	-0,917736	
28126	-0,83067	28126	-0,831558	28126	-0,830564	
28127	-0,739413	28127	-0,739406	28127	-0,738392	
28128	-0,640657	28128	-0,641944	28128	-0,641534	
28129	-0,54065	28129	-0,541046	28129	-0,540927	
28130	-0,43533	28130	-0,436712	28130	-0,43657	
28131	-0,329385	28131	-0,329566	28131	-0,329401	
28132	-0,22219	28132	-0,221795	28132	-0,222233	
28133	-0,111558	28133	-0,111526	28133	-0,11069	
28134	0,00157495	28134	0,000930345	28134	0,00147837	
28135	0,110332	28135	0,110575	28135	0,111459	
28136	0,221278	28136	0,221157	28136	0,22144	
28137	0,33066	28137	0,33049	28137	0,330796	
28138	0,436918	28138	0,437011	28138	0,436715	
28139	0,540987	28139	0,541033	28139	0,541697	
28140	0,642244	28140	0,641931	28140	0,642304	
28141	0,738813	28141	0,738768	28141	0,739475	
28142	0,830695	28142	0,83092	28142	0,831021	
28143	0,917888	28143	0,917449	28143	0,917881	
28144	0,999457	28144	0,999604	28144	1,00005	
28145	1,07571	28145	1,0752	28145	1,07598	
28146	1,14478	28146	1,14486	28146	1,14503	
28147	1,20541	28147	1,20515	28147	1,20596	
28148	1,25854	28148	1,25888	28148	1,25938	
28149	1,30729	28149	1,30698	28149	1,3075	
28150	1,34604	28150	1,34509	28150	1,34593	
28151	1,37386	28151	1,37383	28151	1,37436	
28152	1,39667	28152	1,39664	28152	1,39717	
28153	1,41042	28153	1,41007	28153	1,41061	
28154	1,41417	28154	1,41382	28154	1,41436	
28155	1,41011	28155	1,40976	28155	1,4103	
28156	1,39636	28156	1,39601	28156	1,39686	
28157	1,3748	28157	1,37415	28157	1,37499	
28158	1,34417	28158	1,34385	28158	1,34406	
28159	1,30667	28159	1,30574	28159	1,30688	
28160	1,25947	28160	1,25888	28160	1,25938	
28161	1,2051	28161	1,20484	28161	1,20502	
28162	1,14415	28162	1,14486	28162	1,14472	
28163	1,07602	28163	1,0752	28163	1,07567	
28164	0,997894	28164	0,998355	28164	0,999117	
