Time - Plot 0	Amplitude - Plot 0	Time - Plot 1	Amplitude - Plot 1	Time - Plot 2	Amplitude - Plot 2	
27507	1,30573	27507	1,30542	27507	1,30594	
27508	1,26072	27508	1,26013	27508	1,26063	
27509	1,20635	27509	1,2064	27509	1,20627	
27510	1,14384	27510	1,1433	27510	1,14378	
27511	1,0754	27511	1,07489	27511	1,07567	
27512	0,999457	27512	0,998979	27512	0,999117	
27513	0,917888	27513	0,917761	27513	0,918506	
27514	0,831632	27514	0,83092	27514	0,831959	
27515	0,738813	27515	0,73908	27515	0,738538	
27516	0,641932	27516	0,641618	27516	0,641367	
27517	0,541925	27517	0,541657	27517	0,542322	
27518	0,439418	27518	0,438572	27518	0,439215	
27519	0,329098	27519	0,328928	27519	0,329546	
27520	0,220965	27520	0,221157	27520	0,22144	
27521	0,111583	27521	0,1112	27521	0,111772	
27522	0,000637388	27522	-0,000319168	27522	0,000228591	
27523	-0,111245	27523	-0,112151	27523	-0,111314	
27524	-0,221878	27524	-0,222733	27524	-0,221608	
27525	-0,329385	27525	-0,329566	27525	-0,329401	
27526	-0,436268	27526	-0,437649	27526	-0,43657	
27527	-0,540962	27527	-0,541983	27527	-0,540302	
27528	-0,641594	27528	-0,642256	27528	-0,641222	
27529	-0,740038	27529	-0,740343	27529	-0,739955	
27530	-0,830045	27530	-0,83062	27530	-0,830251	
27531	-0,917551	27531	-0,918086	27531	-0,917424	
27532	-1,00068	27532	-1,00087	27532	-0,999909	
27533	-1,07537	27533	-1,07521	27533	-1,0749	
27534	-1,14225	27534	-1,14362	27534	-1,14238	
27535	-1,2057	27535	-1,2061	27535	-1,20581	
27536	-1,25976	27536	-1,26045	27536	-1,25955	
27537	-1,30539	27537	-1,30637	27537	-1,30548	
27538	-1,34445	27538	-1,34511	27538	-1,34454	
27539	-1,37446	27539	-1,37572	27539	-1,37422	
27540	-1,39665	27540	-1,39696	27540	-1,39609	
27541	-1,41008	27541	-1,41008	27541	-1,40921	
27542	-1,4129	27542	-1,41414	27542	-1,41296	
27543	-1,40977	27543	-1,41008	27543	-1,40828	
27544	-1,39696	27544	-1,39665	27544	-1,39578	
27545	-1,37602	27545	-1,37634	27545	-1,37609	
27546	-1,34477	27546	-1,34479	27546	-1,34422	
