Time - Plot 0	Amplitude - Plot 0	Time - Plot 1	Amplitude - Plot 1	Time - Plot 2	Amplitude - Plot 2	
28673	1,4148	28673	-0,706919	28673	-0,705898	
28674	1,30635	28674	-0,183998	28674	-1,12145	
28675	0,999457	28675	0,364851	28675	-1,36672	
28676	0,540675	28676	0,860908	28676	-1,40171	
28677	1,23455E-5	28677	1,22452	28677	-1,22456	
28678	-0,54065	28678	1,40101	28678	-0,860246	
28679	-1,00006	28679	1,3654	28679	-0,365958	
28680	-1,30539	28680	1,12206	28680	0,185821	
28681	-1,41227	28681	0,708155	28681	0,708855	
28682	-1,30664	28682	0,183047	28682	1,12128	
28683	-0,999119	28683	-0,366114	28683	1,36687	
28684	-0,542212	28684	-0,861546	28684	1,40248	
28685	-0,000612698	28685	-1,22515	28685	1,22502	
28686	0,539737	28686	-1,40321	28686	0,860079	
28687	0,999457	28687	-1,36541	28687	0,366727	
28688	1,3076	28688	-1,12113	28688	-0,183489	
28689	1,41449	28689	-0,706606	28689	-0,706835	
28690	1,3076	28690	-0,18431	28690	-1,12051	
28691	1,00071	28691	0,366413	28691	-1,36485	
28692	0,5413	28692	0,860908	28692	-1,40171	
28693	1,23455E-5	28693	1,2242	28693	-1,22487	
28694	-0,541275	28694	1,40226	28694	-0,860246	
28695	-0,999431	28695	1,36571	28695	-0,365645	
28696	-1,30476	28696	1,12237	28696	0,185509	
28697	-1,4129	28697	0,707843	28697	0,708543	
28698	-1,30633	28698	0,183984	28698	1,1216	
28699	-0,999119	28699	-0,366427	28699	1,36624	
28700	-0,542837	28700	-0,862483	28700	1,40123	
28701	0,000324867	28701	-1,22422	28701	1,22533	
28702	0,5413	28702	-1,40196	28702	0,861641	
28703	0,999457	28703	-1,36541	28703	0,36579	
28704	1,3076	28704	-1,12113	28704	-0,184114	
28705	1,41542	28705	-0,705982	28705	-0,705586	
28706	1,30729	28706	-0,184622	28706	-1,12051	
28707	0,998519	28707	0,364539	28707	-1,36734	
28708	0,540987	28708	0,860596	28708	-1,40203	
28709	-0,000300176	28709	1,22389	28709	-1,22518	
28710	-0,541275	28710	1,40132	28710	-0,860246	
28711	-0,999744	28711	1,36665	28711	-0,365645	
28712	-1,30508	28712	1,12237	28712	0,186134	
28713	-1,41321	28713	0,70753	28713	0,70823	
28714	-1,30789	28714	0,182735	28714	1,12035	
28715	-1,00006	28715	-0,366114	28715	1,36655	
28716	-0,540962	28716	-0,861546	28716	1,40248	
28717	0,00094991	28717	-1,22453	28717	1,2247	
28718	0,539737	28718	-1,40258	28718	0,860079	
28719	1,00071	28719	-1,36541	28719	0,366415	
28720	1,3076	28720	-1,12051	28720	-0,183177	
28721	1,41324	28721	-0,707856	28721	-0,706835	
28722	1,30729	28722	-0,184622	28722	-1,12145	
28723	0,999769	28723	0,365164	28723	-1,3661	
28724	0,540362	28724	0,859971	28724	-1,40171	
28725	0,000324867	28725	1,2242	28725	-1,22487	
28726	-0,540962	28726	1,40195	28726	-0,860559	
28727	-0,997869	28727	1,36759	28727	-0,36377	
28728	-1,30695	28728	1,12018	28728	0,183947	
28729	-1,41352	28729	0,70753	28729	0,707605	
28730	-1,30633	28730	0,184296	28730	1,12222	
28731	-1,00006	28731	-0,366427	28731	1,36593	
28732	-0,541587	28732	-0,862171	28732	1,40217	
28733	-0,000612698	28733	-1,22453	28733	1,22439	
28734	0,541612	28734	-1,40102	28734	0,861954	
28735	1,00008	28735	-1,36635	28735	0,36579	
28736	1,30604	28736	-1,12207	28736	-0,184114	
28737	1,41449	28737	-0,707231	28737	-0,707148	
28738	1,30635	28738	-0,183998	28738	-1,12051	
28739	0,998207	28739	0,364539	28739	-1,3661	
28740	0,541612	28740	0,86122	28740	-1,40171	
28741	1,23455E-5	28741	1,22483	28741	-1,22456	
28742	-0,540337	28742	1,40164	28742	-0,860871	
28743	-0,999744	28743	1,36602	28743	-0,365333	
28744	-1,30664	28744	1,12174	28744	0,184884	
28745	-1,41321	28745	0,706906	28745	0,707605	
28746	-1,30758	28746	0,183047	28746	1,12035	
28747	-0,999431	28747	-0,366739	28747	1,36562	
28748	-0,540962	28748	-0,860921	28748	1,40248	
28749	0,00126243	28749	-1,2239	28749	1,22502	
28750	0,541612	28750	-1,40196	28750	0,861641	
28751	0,999769	28751	-1,36541	28751	0,36704	
28752	1,3076	28752	-1,12082	28752	-0,182864	
28753	1,41292	28753	-0,708481	28753	-0,708085	
28754	1,30604	28754	-0,184935	28754	-1,12176	
28755	0,999769	28755	0,365788	28755	-1,3661	
28756	0,5413	28756	0,860908	28756	-1,40171	
28757	-0,000300176	28757	1,22452	28757	-1,22424	
28758	-0,541275	28758	1,40195	28758	-0,860871	
28759	-0,999431	28759	1,36665	28759	-0,364708	
28760	-1,30758	28760	1,12049	28760	0,184259	
28761	-1,41383	28761	0,706906	28761	0,707605	
28762	-1,30633	28762	0,184609	28762	1,12253	
28763	-0,998806	28763	-0,365802	28763	1,36593	
28764	-0,54065	28764	-0,859984	28764	1,4028	
28765	0,00126243	28765	-1,22422	28765	1,22564	
28766	0,541925	28766	-1,40196	28766	0,861641	
28767	0,997269	28767	-1,3676	28767	0,364228	
28768	1,30729	28768	-1,12207	28768	-0,184427	
28769	1,41542	28769	-0,706294	28769	-0,705273	
28770	1,30604	28770	-0,184935	28770	-1,12145	
28771	1,00102	28771	0,366725	28771	-1,36485	
28772	0,540675	28772	0,860283	28772	-1,4014	
28773	0,000637388	28773	1,22452	28773	-1,22424	
28774	-0,542212	28774	1,40101	28774	-0,862121	
28775	-1,00068	28775	1,36571	28775	-0,365645	
28776	-1,30789	28776	1,12049	28776	0,183947	
28777	-1,4129	28777	0,706906	28777	0,707605	
28778	-1,30508	28778	0,184921	28778	1,12285	
28779	-0,998806	28779	-0,366114	28779	1,36718	
28780	-0,540337	28780	-0,860609	28780	1,40217	
28781	-0,000925219	28781	-1,22578	28781	1,22408	
28782	0,540362	28782	-1,40227	28782	0,860079	
28783	0,999144	28783	-1,36604	28783	0,366102	
28784	1,30667	28784	-1,12207	28784	-0,184427	
28785	1,41542	28785	-0,706294	28785	-0,706523	
28786	1,3076	28786	-0,18431	28786	-1,12051	
28787	1,00071	28787	0,365788	28787	-1,36578	
28788	0,540987	28788	0,860596	28788	-1,40171	
28789	0,000637388	28789	1,22514	28789	-1,22393	
28790	-0,541587	28790	1,40226	28790	-0,861183	
28791	-0,998806	28791	1,36571	28791	-0,365333	
28792	-1,30601	28792	1,12143	28792	0,184571	
28793	-1,41321	28793	0,707218	28793	0,707918	
28794	-1,3057	28794	0,184921	28794	1,12285	
28795	-1,00068	28795	-0,365802	28795	1,36562	
28796	-0,5419	28796	-0,861546	28796	1,40186	
28797	0,000637388	28797	-1,22453	28797	1,2247	
28798	0,541612	28798	-1,40102	28798	0,861329	
28799	0,999769	28799	-1,36572	28799	0,366102	
28800	1,3076	28800	-1,12144	28800	-0,183802	
28801	1,41449	28801	-0,707231	28801	-0,706523	
28802	1,30979	28802	0,051848	28802	-1,00522	
28803	1,01321	28803	0,581329	28803	-1,22456	
28804	0,567239	28804	1,02397	28804	-1,26486	
28805	0,0365774	28805	1,31479	28805	-1,11801	
28806	-0,497834	28806	1,41351	28806	-0,80713	
28807	-0,957553	28807	1,30605	28807	-0,375331	
28808	-1,27945	28808	1,00273	28808	0,109272	
28809	-1,41352	28809	0,551341	28809	0,577316	
28810	-1,3357	28810	0,0212349	28810	0,962561	
28811	-1,0635	28811	-0,51262	28811	1,20502	
28812	-0,631594	28812	-0,970254	28812	1,27157	
28813	-0,11062	28813	-1,28607	28813	1,14909	
28814	0,429104	28814	-1,41227	28814	0,858829	
28815	0,905388	28815	-1,3298	28815	0,441714	
28816	1,24604	28816	-1,05303	28816	-0,0416391	
28817	1,40574	28817	-0,62039	28817	-0,517494	
28818	1,35823	28818	-0,0952822	28818	-0,917424	
28819	1,11165	28819	0,442946	28819	-1,18144	
28820	0,698186	28820	0,915574	28820	-1,27267	
28821	0,185963	28821	1,25513	28821	-1,17488	
28822	-0,355637	28822	1,40851	28822	-0,904613	
28823	-0,845671	28823	1,35384	28823	-0,501871	
