Time - Plot 0	Amplitude - Plot 0	Time - Plot 1	Amplitude - Plot 1	Time - Plot 2	Amplitude - Plot 2	
27895	-0,642844	27895	-0,643194	27895	-0,642159	
27896	-0,540962	27896	-0,541358	27896	-0,540615	
27897	-0,43658	27897	-0,436712	27897	-0,437195	
27898	-0,329073	27898	-0,329254	27898	-0,328464	
27899	-0,219378	27899	-0,220233	27899	-0,220045	
27900	-0,11187	27900	-0,112151	27900	-0,111314	
27901	1,23455E-5	27901	-0,000319168	27901	-8,38547E-5	
27902	0,110645	27902	0,110575	27902	0,111459	
27903	0,221903	27903	0,221157	27903	0,221752	
27904	0,330973	27904	0,330177	27904	0,330484	
27905	0,436918	27905	0,436698	27905	0,43734	
27906	0,541925	27906	0,54197	27906	0,541697	
27907	0,641932	27907	0,641618	27907	0,641367	
27908	0,738188	27908	0,738143	27908	0,739475	
27909	0,831007	27909	0,830607	27909	0,831021	
27910	0,917888	27910	0,918073	27910	0,918194	
27911	0,999457	27911	0,999604	27911	1,00037	
27912	1,07634	27912	1,07582	27912	1,07692	
27913	1,14572	27913	1,14548	27913	1,14565	
27914	1,2051	27914	1,20515	27914	1,20564	
27915	1,26072	27915	1,26044	27915	1,26095	
27916	1,30729	27916	1,30667	27916	1,30719	
27917	1,34479	27917	1,34541	27917	1,34593	
27918	1,37636	27918	1,37571	27918	1,3753	
27919	1,39792	27919	1,39757	27919	1,39874	
27920	1,41105	27920	1,40976	27920	1,4103	
27921	1,4123	27921	1,41288	27921	1,4128	
27922	1,40855	27922	1,40882	27922	1,40873	
27923	1,39667	27923	1,39664	27923	1,39749	
27924	1,37511	27924	1,3754	27924	1,3753	
27925	1,34448	27925	1,34447	27925	1,34531	
27926	1,30729	27926	1,30667	27926	1,30688	
27927	1,26041	27927	1,26013	27927	1,26095	
27928	1,20572	27928	1,20484	27928	1,20502	
27929	1,14447	27929	1,14361	27929	1,1444	
27930	1,07602	27930	1,07489	27930	1,07535	
27931	1,00008	27931	0,999917	27931	1,00037	
27932	0,919139	27932	0,918698	27932	0,919131	
27933	0,831945	27933	0,831545	27933	0,832584	
27934	0,739126	27934	0,738768	27934	0,739162	
27935	0,641619	27935	0,641618	27935	0,641992	
27936	0,539737	27936	0,540408	27936	0,540447	
27937	0,436605	27937	0,437323	27937	0,437028	
27938	0,330348	27938	0,330177	27938	0,330171	
27939	0,221903	27939	0,221469	27939	0,221752	
27940	0,11127	27940	0,110888	27940	0,111459	
27941	0,00126243	27941	0,000617967	27941	0,00147837	
27942	-0,112183	27942	-0,112151	27942	-0,111627	
27943	-0,220628	27943	-0,220546	27943	-0,220358	
27944	-0,329385	27944	-0,329566	27944	-0,328777	
27945	-0,436893	27945	-0,437024	27945	-0,436883	
27946	-0,541275	27946	-0,541671	27946	-0,541552	
27947	-0,641594	27947	-0,642569	27947	-0,641534	
27948	-0,738788	27948	-0,738781	27948	-0,73808	
27949	-0,830982	27949	-0,831245	27949	-0,831814	
27950	-0,919426	27950	-0,919024	27950	-0,918361	
27951	-0,998806	27951	-0,999305	27951	-0,999597	
27952	-1,07444	27952	-1,07459	27952	-1,07458	
27953	-1,14319	27953	-1,14362	27953	-1,14301	
27954	-1,20413	27954	-1,20516	27954	-1,20425	
27955	-1,25757	27955	-1,25858	27955	-1,2583	
27956	-1,30633	27956	-1,30668	27956	-1,30611	
27957	-1,3457	27957	-1,34511	27957	-1,34547	
27958	-1,37477	27958	-1,37478	27958	-1,37484	
27959	-1,39602	27959	-1,39665	27959	-1,3964	
27960	-1,40977	27960	-1,40914	27960	-1,4089	
27961	-1,41258	27961	-1,41383	27961	-1,41265	
27962	-1,4079	27962	-1,40883	27962	-1,40765	
27963	-1,39758	27963	-1,3979	27963	-1,39703	
27964	-1,37539	27964	-1,37572	27964	-1,37547	
27965	-1,3457	27965	-1,34604	27965	-1,34454	
27966	-1,3057	27966	-1,30637	27966	-1,30548	
27967	-1,2607	27967	-1,26014	27967	-1,25986	
27968	-1,20445	27968	-1,20454	27968	-1,20394	
27969	-1,14288	27969	-1,14331	27969	-1,14301	
27970	-1,07537	27970	-1,07521	27970	-1,07552	
27971	-1,00006	27971	-0,999617	27971	-0,999909	
27972	-0,919426	27972	-0,919336	27972	-0,918986	
27973	-0,830045	27973	-0,83062	27973	-0,829626	
27974	-0,738476	27974	-0,739406	27974	-0,73808	
27975	-0,640969	27975	-0,641319	27975	-0,640597	
27976	-0,540337	27976	-0,540421	27976	-0,540302	
27977	-0,437205	27977	-0,437961	27977	-0,436258	
27978	-0,329698	27978	-0,329878	27978	-0,329401	
27979	-0,222503	27979	-0,222108	27979	-0,222233	
27980	-0,111245	27980	-0,112151	27980	-0,110377	
27981	0,000324867	27981	-0,000319168	27981	0,000541036	
27982	0,111583	27982	0,111512	27982	0,112084	
27983	0,22159	27983	0,221782	27983	0,222065	
27984	0,32941	27984	0,329865	27984	0,329546	
27985	0,436918	27985	0,436386	27985	0,437028	
27986	0,539737	27986	0,539783	27986	0,540759	
27987	0,642244	27987	0,641618	27987	0,641992	
27988	0,737563	27988	0,737831	27988	0,738225	
27989	0,83132	27989	0,83092	27989	0,831334	
27990	0,919451	27990	0,91901	27990	0,919756	
27991	0,999457	27991	0,999292	27991	0,999742	
27992	1,07602	27992	1,0752	27992	1,07629	
27993	1,14415	27993	1,14392	27993	1,1444	
27994	1,20603	27994	1,20546	27994	1,20596	
27995	1,25979	27995	1,25982	27995	1,2597	
27996	1,30729	27996	1,30761	27996	1,3075	
27997	1,34698	27997	1,34634	27997	1,34718	
27998	1,37355	27998	1,37383	27998	1,37436	
27999	1,3973	27999	1,39695	27999	1,3978	
28000	1,4098	28000	1,40944	28000	1,40998	
28001	1,41355	28001	1,41319	28001	1,41311	
28002	1,40917	28002	1,40882	28002	1,40905	
28003	1,39667	28003	1,39664	28003	1,39717	
28004	1,37605	28004	1,37633	28004	1,37718	
28005	1,34511	28005	1,34478	28005	1,34531	
28006	1,30698	28006	1,30667	28006	1,30719	
28007	1,2601	28007	1,26013	28007	1,26032	
28008	1,2051	28008	1,20577	28008	1,20533	
28009	1,14353	28009	1,14267	28009	1,14347	
28010	1,07665	28010	1,07614	28010	1,07723	
28011	1,00133	28011	1,00179	28011	1,00193	
28012	0,918826	28012	0,917761	28012	0,918506	
28013	0,831007	28013	0,830607	28013	0,831646	
